This	April 17, 2016	Last	Weeks
Week	Fiction	Week	On List
""			
1	FOOL ME ONCE, by Harlan Coben. (Dutton.) A retired Army helicopter pilot faces	1	2
""	combat-related nightmares and mysteries concerning the deaths of her husband and		
""	sister.		
""			
2	THE NEST, by Cynthia D'Aprix Sweeney. (Ecco/HarperCollins.) Siblings in a	3	2
""	dysfunctional New York family must grapple with a reduced inheritance.		
""			
3	PRIVATE PARIS, by James Patterson and Mark Sullivan. (Little, Brown.) Jack	2	3
""	Morgan, the head of the Private global investigative agency, probes the murders of		
""	members of the French cultural elite.		
""			
4	JOURNEY TO MUNICH, by Jacqueline Winspear. (Harper/HarperCollins.) In 1938,	--	1
""	the psychologist Maisie Dobbs travels to Germany to impersonate the daughter of a		
""	prisoner.		
""			
5	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	8	57
""	France: one struggling to survive in the countryside, the other joining the Resistance		
""	in Paris.		
""			
6	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	5	100
""	blind French girl and a gadget-obsessed German boy before and during World War II.		
""			
7	THE SUMMER BEFORE THE WAR, by Helen Simonson. (Random House.) Life in	7	2
""	Sussex, England, at the beginning of World War I.		
""			
8	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller	6	64
""	set in the environs of London.		
""			
9	PROPERTY OF A NOBLEWOMAN, by Danielle Steel. (Delacorte.) Two New Yorkers	4	3
""	reconstruct the history of a young woman and a love affair at the time of World War II.		
""			
10	BRUSH OF WINGS, by Karen Kingsbury. (Howard.) Book 3 in the Angels Walking	--	1
""	series.		
""			
11	OFF THE GRID, by C. J. Box. (Putnam.) The 16th Joe Pickett novel features Nate	9	4
""	Romanowski and a search for a domestic terror cell.		
""			
12	AFTER YOU, by Jojo Moyes. (Pamela Dorman/Viking.) In a sequel to “Me Before	11	9
""	You,” Louisa Clark tries to put her life back together after the death of Will Traynor.		
""			
13	THE OTHER SIDE OF SILENCE, by Philip Kerr. (Marian Wood/Putnam.) Ten years	--	1
""	after the end of World War II, Bernie Gunther, now a concierge at a Cap Ferrat hotel,		
""	becomes a bridge buddy of Somerset Maugham, at whose home he meets Anthony		
""	Blunt and Guy Burgess.		
""			
14	THE ANCIENT MINSTREL, by Jim Harrison. (Grove.) Three novellas by the poet and	--	1
""	novelist, who died in March.		
This	April 17, 2016	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	WHEN BREATH BECOMES AIR, by Paul Kalanithi. (Random House.) A memoir	1	12
""	by a physician who received a diagnosis of Stage IV lung cancer at the age of 36.		
""			
2	LUST AND WONDER, by Augusten Burroughs. (St. Martin's.) Burroughs's post-	--	1
""	rehab love life in 1990s New York City, and its eventual happy ending.		
""			
3	SEVEN BRIEF LESSONS ON PHYSICS, by Carlo Rovelli. (Riverhead.) An	2	5
""	introduction to modern physics.		
""			
4	GIRLS AND SEX, by Peggy Orenstein. (Harper/HarperCollins.) Interviews with	--	1
""	more than 70 teenagers shed light on their experience of sexuality.		
""			
5	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	3	38
""	meditation on race in America; winner of the National Book Award.		
""			
6	DARK MONEY, by Jane Mayer. (Doubleday.) An account of how the Koch	6	11
""	brothers and other super-wealthy donors deployed their money to change		
""	American politics.		
""			
7	SMARTER FASTER BETTER, by Charles Duhigg. (Random House.) The science	4	4
""	"of productivity, from the author of ""The Power of Habit."""		
""			
8	THE IMMORTAL IRISHMAN, by Timothy Egan. (Houghton Mifflin Harcourt.) The	5	5
""	life of Thomas Francis Meagher, an Irish revolutionary who fled to America and		
""	became the general of New York’s Irish Brigade during the Civil War.		
""			
9	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	8	68
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
10	SPAIN IN OUR HEARTS, by Adam Hochschild. (Houghton Mifflin Harcourt.)	--	1
""	Americans who fought in and wrote about the Spanish Civil War.		
""			
11	BACK FROM THE DEAD, by Bill Walton. (Simon & Schuster.) An autobiography	14	2
""	of the former basketball player (and Deadhead), who has struggled with injuries.		
""			
12	THE LEGENDS CLUB, by John Feinstein. (Doubleday.) A sportswriter’s account	9	4
""	of three famous basketball coaches and their rivalry.		
""			
13	EVICTED, by Matthew Desmond. (Crown.) How poor people repeatedly lose their	12	5
""	homes while landlords profit.		
""			
14	ORIGINALS, by Adam Grant. (Viking.) A Wharton School professor argues that	10	8
""	innovators are made, not born, and offers suggestions for how to become one.		
""			
15	AMERICAN GIRLS, by Nancy Jo Sales. (Knopf.) How social media has changed	--	2
""	the way girls grow up.		
