This	November 16, 2008	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE GATE HOUSE, by Nelson DeMille. (Grand Central, $27.99.) In a sequel to	--	1
""	“The Gold Coast” (1990) a tax attorney and his ex-wife explore a reconciliation.		
""			
2	EXTREME MEASURES, by Vince Flynn. (Atria, $27.95.) Mitch Rapp teams up	1	2
""	with a C.I.A. colleague to fight a terrorist cell — and the politicians who would rein		
""	them in.		
""			
3	THE BRASS VERDICT, by Michael Connelly. (Little, Brown, $26.) Harry Bosch	2	3
""	and Mickey Haller (the Lincoln lawyer) team up to find a killer.		
""			
4	THE LUCKY ONE, by Nicholas Sparks. (Grand Central, $24.99.) A marine	3	5
""	returning home sets out to track down the woman whose photo he found in Iraq.		
""			
5	A GOOD WOMAN, by Danielle Steel. (Delacorte, $27.) An American society girl	--	1
""	who made a new life as a doctor in World War I France returns to New York.		
""			
6	THE STORY OF EDGAR SAWTELLE, by David Wroblewski. (Ecco, $25.95.) A	5	21
""	mute takes refuge with three dogs in the Wisconsin woods after his father’s death.		
""			
7	BONES, by Jonathan Kellerman. (Ballantine, $27.) The psychologist-detective	4	2
""	Alex Delaware is called in when women’s bodies keep turning up in a Los Angeles		
""	marsh.		
""			
8	ROUGH WEATHER, by Robert B. Parker. (Putnam, $26.95.) The Boston private	6	2
""	eye Spenser gets involved when a gunman kidnaps the bride from her wedding on		
""	a private island.		
""			
9	TESTIMONY, by Anita Shreve. (Little, Brown, $25.99.) A sex scandal at a	8	2
""	Vermont prep school is caught on tape.		
""			
10	A LION AMONG MEN, by Gregory Maguire. (Morrow, $26.95.) A looming civil war	7	3
""	in Oz, seen through the eyes of the Cowardly Lion; Book 3 of the Wicked Years.		
""			
11	A MOST WANTED MAN, by John le Carré. (Scribner, $28.) Intelligence agencies	9	4
""	converge in Hamburg when a young Muslim man with mysterious connections		
""	shows up.		
""			
12	THE HOST, by Stephenie Meyer. (Little, Brown, $25.99.) One woman won’t	12	26
""	surrender to the aliens that have taken control.		
""			
13	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY, by Mary Ann	15	13
""	Shaffer and Annie Barrows. (Dial, $22.) A journalist meets the island’s old Nazi		
""	resisters.		
""			
14	ONE FIFTH AVENUE, by Candace Bushnell. (Hyperion, $25.95.) The worlds of	11	6
""	gossip, theater and hedge funds have one address in common.		
This	November 16, 2008	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	DEWEY, by Vicki Myron with Bret Witter. (Grand Central, $19.99.) The kitten left	3	7
""	freezing in the returned-book slot of an Iowa public library and his rise to fame.		
""			
2	AGAINST MEDICAL ADVICE, by James Patterson and Hal Friedman. (Little,	1	2
""	Brown, $26.99.) A family’s struggle to get treatment for their son’s Tourette’s		
""	syndrome.		
""			
3	THE SNOWBALL, by Alice Schroeder. (Bantam, $35.) The life of Warren Buffett.	2	5
""			
4	A BOLD FRESH PIECE OF HUMANITY, by Bill O’Reilly. (Broadway, $26.) The	5	6
""	Fox News commentator on his upbringing and career.		
""			
5	HOT, FLAT, AND CROWDED, by Thomas L. Friedman. (Farrar, Straus & Giroux,	6	8
""	$27.95.) How a green revolution can renew America, by the New York Times		
""	columnist.		
""			
6	MY STROKE OF INSIGHT, by Jill Bolte Taylor. (Viking, $24.95.) A brain scientist	4	12
""	shares what she learned from her 1996 stroke.		
""			
7	LETTER TO MY DAUGHTER, by Maya Angelou. (Random House, $25.)	10	5
""	Reminiscences, appreciations and poems from the author of “I Know Why the		
""	Caged Bird Sings.”		
""			
8	MULTIPLE BLESSINGS, by Jon Gosselin, Kate Gosselin and Beth Carson.	8	3
""	(Zondervan, $19.) A couple with twins has sextuplets.		
""			
9	THE LONGEST TRIP HOME, by John Grogan. (Morrow, $25.95.) A memoir of	9	2
""	growing up Catholic, by the author of “Marley & Me.”		
""			
10	JOHN LENNON, by Philip Norman. (Ecco, $34.95.) Life in the Beatles and	--	1
""	beyond, from the author of “Shout!”		
""			
11	BUYOLOGY, by Martin Lindstrom. (Doubleday, $24.95.) Results of a	--	1
""	neuromarketing study that looked inside consumers’ brains as they were exposed		
""	to products.		
""			
12	FLEECED, by Dick Morris and Eileen McGann. (Harper, $26.95.) Americans are	--	16
""	fleeced by government, business, labor unions and lobbyists.		
""			
13	HERE’S THE STORY, by Maureen McCormick. (Morrow, $25.95.) The life of the	7	3
""	actress who played Marcia Brady.		
""			
14	THE WORDY SHIPMATES, by Sarah Vowell. (Riverhead, $25.95.) A contributing	13	4
""	editor for public radio’s “This American Life” takes a fresh look at the Puritans.		
""			
15	TRIED BY WAR, by James M. McPherson. (Penguin Press, $35.) Abraham	12	4
""	Lincoln as commander in chief, from the author of “Battle Cry of Freedom.”		
