This	April 1, 2001	Last	Weeks
Week	Fiction	Week	On List
""			
1	1ST TO DIE, by James Patterson. (Little, Brown, $26.95.) Four women -- a	1	2
""	homicide inspector, a medical examiner, an assistant district attorney and a		
""	journalist -- search for a killer who is stalking newlyweds.		
""			
2	A PAINTED HOUSE, by John Grisham. (Doubleday, $27.95.) The experiences of	2	6
""	a 7-year-old boy whose parents live and work in the cotton fields of Arkansas.		
""			
3	THE BONESETTER'S DAUGHTER, by Amy Tan. (Putnam, $25.95.) A Chinese-	4	4
""	American woman struggles to understand her family and herself.		
""			
4	SCARLET FEATHER, by Maeve Binchy. (Dutton, $25.95.) Tom Feather and	3	2
""	Cathy Scarlet, friends from cooking school, start a catering company in Dublin.		
""			
5	A DAY LATE AND A DOLLAR SHORT, by Terry McMillan. (Viking, $25.95.) The	5	9
""	complicated lives of Viola Price and her estranged husband, who live in Las		
""	Vegas, and their four grown children.		
""			
6	MYSTIC RIVER, by Dennis Lehane. (Morrow, $25.) Three former friends, torn	10	7
""	apart long ago by a childhood trauma, are forced to reunite when the daughter of		
""	one of them is found murdered.		
""			
7	THE VENDETTA DEFENSE, by Lisa Scottoline. (HarperCollins, $25.) A	9	3
""	Philadelphia lawyer finds herself defending Anthony (Pigeon Tony) Lucia, a		
""	mobster accused of murdering his lifelong enemy.		
""			
8	THE FIRST COUNSEL, by Brad Meltzer. (Warner, $25.95.) A young White House	8	10
""	lawyer who is dating the president's daughter becomes ensnared in a scheme		
""	involving betrayal and murder.		
""			
9	EDGE OF DANGER, by Jack Higgins. (Putnam, $25.95.) The head of a half-Arab,	6	4
""	half-British oil family plots to assassinate the president of the United States.		
""			
10	THE MARK, by Tim LaHaye and Jerry B. Jenkins. (Tyndale, $22.99.) The eighth	7	18
""	"volume of the ""Left Behind"" series, in which the forces of good battle the forces of"		
""	evil after the rapture of the saved.		
""			
11	THE DEVIL'S OWN, by Sandra Brown. (Mira, $19.95.) While on a dangerous	--	1
""	jungle rescue mission, a woman falls for a photojournalist.		
""			
12	MY DREAM OF YOU, by Nuala O'Faolain. (Riverhead, $25.95.) An emotionally	--	2
""	repressed travel writer returns to her native Ireland.		
""			
13	PRODIGAL SUMMER, by Barbara Kingsolver. (HarperCollins, $26.) The lives of	16	22
""	men and women, flora and fauna, in the mountains of southern Appalachia.		
""			
14	PLAIN JANE, by Fern Michaels. (Kensington, $24.) Haunted by her past, a	13	2
""	psychotherapist discovers clues to the long-ago killing of a homecoming queen.		
This	April 1, 2001	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE O'REILLY FACTOR, by Bill O'Reilly. (Broadway, $23.) The host of a cable	2	27
""	news program offers opinions on what's right with America and what's wrong with		
""	it.		
""			
2	SEABISCUIT, by Laura Hillenbrand. (Random House, $24.95.) A biography of the	8	2
""	horse whose career culminated in a 1938 match race with War Admiral.		
""			
3	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) The author	4	180
""	tells of his weekly visits to his old college mentor, who was near death's door.		
""			
4	LONGABERGER, by Dave Longaberger. (HarperBusiness, $25.) A posthumous	1	3
""	memoir by the man who created the Longaberger basket company.		
""			
5	AN HOUR BEFORE DAYLIGHT, by Jimmy Carter. (Simon & Schuster, $26.) The	3	10
""	former president recalls his Depression-era childhood on a Georgia farm.		
""			
6	FAST FOOD NATION, by Eric Schlosser. (Houghton Mifflin, $25.) From California	7	8
""	"subdivisions to the New Jersey Turnpike: a survey of ""the dark side of the all-"		
""	"American meal."""		
""			
7	ICE BOUND, by Jerri Nielsen with Maryanne Vollers. (Talk Miramax/Hyperion,	5	8
""	$23.95.) A memoir by the doctor who was at the South Pole when she discovered		
""	that she had breast cancer.		
""			
8	CHYNA: If They Only Knew, by Joanie Laurer with Michael Angeli. (ReganBooks/	6	7
""	HarperCollins, $26.) A memoir by a professional wrestler.		
""			
9	THE DARWIN AWARDS, by Wendy Northcutt. (Dutton, $16.95.) Commemorating	9	19
""	"those people whose spectacularly stupid behavior served to ""improve our gene"		
""	"pool"" by removing them from it."		
""			
10	BUDDHA, by Karen Armstrong. (Lipper/Viking, $19.95.) The life of Siddhartha	12	3
""	Gautama, the founder of Buddhism.		
""			
11	FLAGS OF OUR FATHERS, by James Bradley with Ron Powers. (Bantam,	10	42
""	$24.95.) The story of the six men who raised the flag at Iwo Jima, by the son of		
""	one of them.		
""			
12	THE ART OF HAPPINESS, by the Dalai Lama and Howard C. Cutler. (Riverhead,	--	95
""	$22.95.) What Buddhism and common sense tell us about everyday problems.		
""			
13	FOUNDING BROTHERS, by Joseph J. Ellis. (Knopf, $26.) A historian's study of	14	16
""	the intertwined lives of the nation's founders.		
""			
14	ABSOLUTE POWER, by David Limbaugh. (Regnery, $27.95.) A lawyer's critical	--	1
""	evaluation of the Clinton-Reno Justice Department.		
