This	August 5, 2007	Last	Weeks
Week	Fiction	Week	On List
""			
1	A THOUSAND SPLENDID SUNS, by Khaled Hosseini. (Riverhead, $25.95.) A	3	9
""	friendship between two women in Afghanistan against the backdrop of 30 years of		
""	war.		
""			
2	THE QUICKIE, by James Patterson and Michael Ledwidge. (Little, Brown,	1	3
""	$27.99.) A police officer’s attempt to get back at her husband, whom she suspects		
""	of cheating on her, goes dangerously awry.		
""			
3	HIGH NOON, by Nora Roberts. (Putnam, $26.95.) A hostage negotiator must face	2	2
""	down her unknown stalker.		
""			
4	THE TIN ROOF BLOWDOWN, by James Lee Burke. (Simon & Schuster, $26.)	--	1
""	The Louisiana detective Dave Robicheaux copes with the aftermath of Hurricane		
""	Katrina.		
""			
5	LEAN MEAN THIRTEEN, by Janet Evanovich. (St. Martin’s, $27.95.) The New	4	5
""	Jersey bounty hunter Stephanie Plum becomes a suspect when her ex-husband		
""	disappears.		
""			
6	UP CLOSE AND DANGEROUS, by Linda Howard. (Ballantine, $25.95.) After a	--	1
""	suspicious plane crash, a woman struggles to find a way out of the Idaho		
""	wilderness.		
""			
7	THE FIRST COMMANDMENT, by Brad Thor. (Atria, $25.95.) Scot Harvath, a	--	1
""	Homeland Security superagent, is stalked by a terrorist mysteriously released from		
""	Guantánamo.		
""			
8	SOMEONE TO LOVE, by Jude Deveraux. (Atria, $25.95.) A haunted house in	--	1
""	England holds the key to a young woman’s mysterious death.		
""			
9	THE JUDAS STRAIN, by James Rollins. (Morrow, $25.95.) Sigma Force	6	3
""	operatives trained in science search for the secret behind the re-emergence of an		
""	ancient plague.		
""			
10	BUNGALOW 2, by Danielle Steel. (Delacorte, $27.) A writer must deal with the	5	4
""	effects of Hollywood success on her family life.		
""			
11	THE BOURNE BETRAYAL, by Eric Van Lustbader. (Warner, $25.99.) Continuing	8	7
""	the story of Robert Ludlum’s character Jason Bourne, who tangles with a group of		
""	diabolical Islamic terrorists.		
""			
12	PEONY IN LOVE, by Lisa See. (Random House, $23.95.) Love, death and ghosts	10	4
""	in 17th-century China.		
""			
13	THE 6TH TARGET, by James Patterson and Maxine Paetro. (Little, Brown,	11	11
""	$27.99.) Detective Lindsay Boxer and the Women’s Murder Club investigate the		
""	disappearance of several children in San Francisco.		
This	August 5, 2007	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	QUIET STRENGTH, by Tony Dungy with Nathan Whitaker. (Tyndale, $26.99.) A	2	2
""	memoir by the first black coach to win a Super Bowl (he did it this year, with the		
""	Indianapolis Colts).		
""			
2	LONE SURVIVOR, by Marcus Luttrell with Patrick Robinson. (Little, Brown,	1	6
""	$24.99.) The only survivor of a Navy Seal operation in northern Afghanistan		
""	describes the battle, his comrades and his courageous escape.		
""			
3	GOD IS NOT GREAT, by Christopher Hitchens. (Twelve, $24.99.) Religion as a	7	12
""	malignant force in the world.		
""			
4	THE DIANA CHRONICLES, by Tina Brown. (Doubleday, $27.50.) The Princess of	3	6
""	Wales’s romance with the media.		
""			
5	A LONG WAY GONE, by Ishmael Beah. (Sarah Crichton/Farrar, Straus & Giroux,	5	23
""	$22.) A former child soldier from Sierra Leone describes his drug-crazed killing		
""	spree and his return to humanity.		
""			
6	THE ASSAULT ON REASON, by Al Gore. (Penguin Press, $25.95.) How the Bush	6	9
""	administration has degraded the political environment.		
""			
7	THE WORLD WITHOUT US, by Alan Weisman. (Thomas Dunne/St. Martin’s,	10	2
""	$24.95.) Drawing on science, art, religion and more, Weisman imagines what		
""	Earth would be like if humans disappeared.		
""			
8	THE PRINCE OF DARKNESS, by Robert D. Novak. (Crown Forum, $29.95.)	--	1
""	Reflections on 50 years as a Washington journalist.		
""			
9	LEGACY OF ASHES, by Tim Weiner. (Doubleday, $27.95.) A history of the C.I.A.	13	2
""	by a New York Times reporter, focusing on the agency’s failures and delusions of		
""	grandeur.		
""			
10	EINSTEIN, by Walter Isaacson. (Simon & Schuster, $32.) A biography based on	8	15
""	newly released personal letters.		
""			
11	HAPPY ENDINGS, by Jim Norton. (Simon Spotlight, $23.95.) Raunchy personal	4	2
""	essays from the radio personality and stand-up comic.		
""			
12	OUTRAGE, by Dick Morris and Eileen McGann. (HC/HarperCollins, $26.95.) An	9	6
""	attack on illegal immigration, United Nations profiteers, lazy congressmen and		
""	high drug prices.		
""			
13	ANIMAL, VEGETABLE, MIRACLE, by Barbara Kingsolver with Steven L. Hopp	11	12
""	and Camille Kingsolver. (HarperCollins, $26.95.) The novelist and her family		
""	spend a year eating homegrown or local food.		
""			
14	THE BLACK SWAN, by Nassim Nicholas Taleb. (Random House, $26.95.) The	14	11
