This	November 8, 2015	Last	Week
Week	Fiction	Week	On Li
""			
1	ROGUE LAWYER, by John Grisham. (Doubleday.) The attorney Sebastian Rudd is a	--	1
""	“lone gunman” who hates injustice and the system and defends unpopular clients.		
""			
2	SEE ME, by Nicholas Sparks. (Grand Central.) A couple in love are threatened by	1	2
""	secrets from the past.		
""			
3	CAREER OF EVIL, by Robert Galbraith. (Mulholland/Little, Brown.) In the third novel	--	1
""	about the private investigative team of Cormoran Strike and Robin Ellacott, the pair		
""	pursue a psychotic stalker; by J. K. Rowling, writing pseudonymously.		
""			
4	WELCOME TO NIGHT VALE, by Joseph Fink and Jeffrey Cranor. (Harper Perennial.)	--	1
""	Mysteries and origin stories from the strange Southwestern desert town that is the		
""	setting of the popular podcast.		
""			
5	THE SURVIVOR, by Vince Flynn and Kyle Mills. (Emily Bestler/Atria.) The	2	3
""	counterterrorism operative Mitch Rapp must control the damage from a leak of C.I.A.		
""	documents. Mills finished the book for Flynn, who died in 2013.		
""			
6	THE LAKE HOUSE, by Kate Morton. (Atria.) A London detective investigating a	--	1
""	missing-persons case becomes curious about an unsolved 1933 kidnapping in		
""	Cornwall.		
""			
7	THE MURDER HOUSE, by James Patterson and David Ellis. (Little, Brown.) When	3	4
""	bodies are found at a Hamptons estate where a series of grisly murders once occurred,		
""	a local detective and former New York City cop investigates.		
""			
8	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	6	77
""	French girl and a gadget-obsessed German boy before and during World War II.		
""			
9	THE GIRL IN THE SPIDER'S WEB, by David Lagercrantz. (Knopf.) Mikael Blomkvist	7	8
""	and Lisbeth Salander are back in this continuation of Stieg Larsson’s Millennium series.		
""			
10	A KNIGHT OF THE SEVEN KINGDOMS, by George R. R. Martin. (Bantam.) A	4	3
""	collection of three official prequels to “A Song of Ice and Fire.”		
""			
11	GO SET A WATCHMAN, by Harper Lee. (Harper.) In the mid-1950s, a grown-up Jean	8	15
""	Louise Finch returns home to find that her adored father is not as perfect as she		
""	believed.		
""			
12	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set	9	41
""	in the environs of London.		
""			
13	CITY ON FIRE, by Garth Risk Hallberg. (Knopf.) Sex, drugs and rock ’n’ roll in New	5	2
""	York City in the 1970s.		
""			
14	MAKE ME, by Lee Child. (Delacorte.) In his 20th appearance, Jack Reacher takes on a	10	7
""	missing-persons case that takes him into the shadowy reaches of the Internet.		
This	November 8, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	KILLING REAGAN, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	2	5
""	O’Reilly Factor” recounts the events surrounding the attempted assassination of		
""	President Reagan in 1981.		
""			
2	BINGE, by Tyler Oakley. (Gallery Books.) Personal essays from the L.G.B.T.Q.	--	1
""	YouTube personality.		
""			
3	A MORE PERFECT UNION, by Ben Carson with Candy Carson. (Sentinel.) A	3	3
""	discussion of the Constitution by the candidate for the Republican presidential		
""	nomination.		
""			
4	HUMANS OF NEW YORK STORIES, by Brandon Stanton. (St. Martin's.) More	1	2
""	photographs, this time accompanied by interviews, from the creator of the blog and		
""	the book “Humans of New York.”		
""			
5	M TRAIN, by Patti Smith. (Knopf.) A meditation on art, loss and the past by the	4	3
""	musician and author of “Just Kids.”		
""			
6	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	7	15
""	meditation on race in America as well as a personal story by the national		
""	correspondent of The Atlantic, framed as a letter to his teenage son.		
""			
7	UNFAITHFUL MUSIC AND DISAPPEARING INK, by Elvis Costello. (Blue Rider.) The	9	2
""	musician describes his childhood, life and career.		
""			
8	WHY NOT ME?, by Mindy Kaling. (Crown Archetype.) More personal essays from the	6	6
""	comedian and actress.		
""			
9	EXTREME OWNERSHIP, by Jocko Willink and Leif Babin. (St. Martin's.) Applying the	--	1
""	principles of Navy SEALs leadership training to any organization.		
""			
10	THE LAST OF THE PRESIDENT'S MEN, by Bob Woodward. (Simon & Schuster.)	8	2
""	More revelations from the Nixon White House, based on documents supplied by		
""	Alexander Butterfield, the aide who disclosed Nixon’s taping system.		
""			
11	A COMMON STRUGGLE, by Patrick J. Kennedy and Stephen Fried. (Blue Rider.)	5	3
""	The former Rhode Island representative, the son of Senator Ted Kennedy, describes		
""	his troubles with bipolar disorder and addiction and his subsequent advocacy for		
""	mental health care and research.		
""			
12	I FEEL LIKE GOING ON, by Ray Lewis with Daniel Paisner. (Touchstone.) The	--	1
""	former linebacker, now an ESPN analyst, reviews his life and career.		
""			
13	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	13	55
""	Yorker writer considers how doctors fail patients at the end of life and how they can		
""	do better.		
