This	March 8, 2015	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological	1	6
""	thriller set in London.		
""			
2	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	2	42
""	blind French girl and a gadget-obsessed German boy before and during World		
""	War II.		
""			
3	A SPOOL OF BLUE THREAD, by Anne Tyler. (Knopf.) Four generations of a	4	2
""	family are drawn to a house in the Baltimore suburbs.		
""			
4	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	5	3
""	France: one struggling to survive in the countryside, the other joining the		
""	Resistance in Paris.		
""			
5	THE WHITES, by Richard Price writing as Harry Brandt. (Holt.) A slashing in Penn	--	1
""	Station draws a Manhattan detective back into a case from the past that haunts		
""	him.		
""			
6	OBSESSION IN DEATH, by J. D. Robb. (Putnam.) A murderer is obsessed with	3	2
""	Lt. Eve Dallas; by Nora Roberts, writing pseudonymously.		
""			
7	THE ACCIDENTAL EMPRESS, by Allison Pataki. (Howard Books.) The Austro-	--	1
""	Hungarian emperor Franz Joseph’s spirited young wife navigates the treacherous		
""	imperial court.		
""			
8	DREAMING SPIES, by Laurie R. King. (Bantam.) In the 14th novel about Sherlock	--	1
""	Holmes and his clever wife, Mary Russell, the couple uncover secrets in Japan.		
""			
9	TRIGGER WARNING, by Neil Gaiman. (Morrow/HarperCollins.) Stories and	6	3
""	poems about the power of imagination.		
""			
10	PRIVATE VEGAS, by James Patterson and Maxine Paetro. (Little, Brown.) Jack	8	4
""	Morgan, the head of an investigative firm, uncovers a murder ring in Las Vegas.		
""			
11	MOTIVE, by Jonathan Kellerman. (Ballantine.) The Los Angeles psychologist-	7	2
""	detective Alex Delaware and Milo Sturgis, a homicide cop, realize that the murder		
""	they’re investigating was committed by a serial killer.		
""			
12	GRAY MOUNTAIN, by John Grisham. (Doubleday.) In a small Virginia town, a	9	18
""	downsized Wall Street lawyer becomes involved in litigation against the mining		
""	industry.		
""			
13	THE BOSTON GIRL, by Anita Diamant. (Scribner.) The daughter of Jewish	15	11
""	immigrants grows up in early-20th- century Boston; by the author of “The Red		
""	Tent.”		
""			
14	TWELVE DAYS, by Alex Berenson. (Putnam.) The former C.I.A. operative John	10	2
This	March 8, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	1	20
""	Yorker writer considers how doctors fail patients at the end of life, and offers		
""	suggestions for how they can do better; the subject of a PBS documentary.		
""			
2	BELIEVER, by David Axelrod. (Penguin Press.) A memoir by the political	3	2
""	consultant who became Barack Obama’s campaign strategist and White House		
""	adviser.		
""			
3	KILLING PATTON, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	2	22
""	O’Reilly Factor” recounts the death of Gen. George S. Patton in December 1945.		
""			
4	YES PLEASE, by Amy Poehler. (Dey Street/Morrow.) A humorous miscellany from	4	17
""	the comedian and actress.		
""			
5	WHAT IF?, by Randall Munroe. (Houghton Mifflin Harcourt.) Scientific (but often	5	25
""	humorous) answers to hypothetical questions, based in part on the author’s		
""	website, xkcd.com.		
""			
6	RED NOTICE, by Bill Browder. (Simon & Schuster.) A successful American hedge	8	3
""	fund manager in Russia was expelled by kleptocrats who then seized his property.		
""			
7	LEAVING BEFORE THE RAINS COME, by Alexandra Fuller. (Penguin Press.) A	7	5
""	memoir of a marriage’s collapse, by the author of “Don’t Let’s Go to the Dogs		
""	"Tonight” and ""Cocktail Hour Under the Tree of Forgetfulness."""		
""			
8	H IS FOR HAWK, by Helen Macdonald. (Grove.) Overwhelmed by her father’s	--	1
""	death, a British woman decides to raise a goshawk, a bird that is fierce and		
""	notoriously difficult to tame.		
""			
9	I AM MALALA, by Malala Yousafzai with Christina Lamb. (Little, Brown.) The	14	47
""	experience of the young Pakistani advocate for women’s education who was shot		
""	by the Taliban and later won the Nobel Peace Prize.		
""			
10	GHETTOSIDE, by Jill Leovy. (Spiegel & Grau.) The investigation of a young black	13	4
""	man’s murder in 2007 raises questions about race and the criminal justice system.		
""			
11	IT'S WHAT I DO, by Lynsey Addario. (Penguin Press.) A photojournalist describes	--	1
""	her experience covering wars.		
""			
12	NOT THAT KIND OF GIRL, by Lena Dunham. (Random House.) Essays, mostly	15	21
""	humorous, from the creator and star of “Girls.”		
""			
13	"KILLING JESUS, by Bill O'Reilly and Martin Dugard. (Holt.) The host of ""The"	--	39
""	"O'Reilly Factor"" recounts the events leading up to Jesus’ execution."		
""			
14	SMALL VICTORIES, by Anne Lamott. (Riverhead.) Essays about forgiveness,	--	12
""	transformation and grace.		
