This	October 28, 2007	Last	Weeks
Week	Fiction	Week	On List
""			
1	WORLD WITHOUT END, by Ken Follett. (Dutton, $35.) Love and intrigue in	--	1
""	Kingsbridge, the medieval English cathedral town at the center of Follett’s “Pillars		
""	of the Earth.”		
""			
2	PLAYING FOR PIZZA, by John Grisham. (Doubleday, $21.95.) An American third-	1	3
""	string quarterback joins the Italian National Football League’s Parma Panthers.		
""			
3	THE CHOICE, by Nicholas Sparks. (Grand Central, $24.99.) How the choices	2	3
""	made by a North Carolina man and the neighbor with whom he falls in love play		
""	out in their lives; from the author of “At First Sight.”		
""			
4	A THOUSAND SPLENDID SUNS, by Khaled Hosseini. (Riverhead, $25.95.) A	4	21
""	friendship between two women in Afghanistan against the backdrop of 30 years of		
""	war.		
""			
5	DARK OF THE MOON, by John Sandford. (Putnam, $26.95.) Virgil Flowers, a	3	2
""	character from “Invisible Prey,” investigates three murders in a small Minnesota		
""	town.		
""			
6	YOU’VE BEEN WARNED, by James Patterson and Howard Roughan. (Little,	5	5
""	Brown, $27.99.) An aspiring photographer working as a nanny has terrible visions.		
""			
7	BRIDGE OF SIGHS, by Richard Russo. (Knopf, $26.95.) The entangled lives of an	6	3
""	upstate New York couple and their best friend, from the author of “Empire Falls.”		
""			
8	RUN, by Ann Patchett. (Harper, $25.95.) Two young black men, adopted in	7	3
""	childhood by a Boston politician, encounter their birth mother and sister; from the		
""	author of “Bel Canto.”		
""			
9	SHOOT HIM IF HE RUNS, by Stuart Woods. (Putnam, $25.95.) Stone Barrington,	8	3
""	the New York cop turned lawyer, tracks a rogue C.I.A. agent on a Caribbean		
""	island.		
""			
10	THE ORC KING, by R. A. Salvatore. (Wizards of the Coast, $27.95.) The dark elf	9	3
""	Drizzt Do’Urden seeks vengeance against the orcs in the first book of a new		
""	fantasy trilogy, Transitions.		
""			
11	THE GIFT, by Richard Paul Evans. (Simon & Schuster, $19.95.) A child with	--	1
""	leukemia has the gift of healing; from the author of “The Christmas Box.”		
""			
12	FATAL REVENANT, by Stephen R. Donaldson. (Putnam, $27.95.) Book 2 of “The	--	1
""	Last Chronicles of Thomas Covenant,” a fantasy saga.		
""			
13	DEAD HEAT, by Dick Francis and Felix Francis. (Putnam, $25.95.) Someone is	10	4
""	out to destroy a young chef’s New market restaurant, poisoning food and setting		
""	off a bomb.		
This	October 28, 2007	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	I AM AMERICA (AND SO CAN YOU!), by Stephen Colbert et al. (Grand Central,	--	1
""	$26.99.) The wit and wisdom of the mock pundit of Comedy Central’s “Colbert		
""	Report.”		
""			
2	CLAPTON, by Eric Clapton. (Broadway Books, $26.) The great guitarist looks	--	1
""	back on his life and his music.		
""			
3	MY GRANDFATHER’S SON, by Clarence Thomas. (Harper, $26.95.) A memoir	1	2
""	from an associate justice of the Supreme Court.		
""			
4	THE AGE OF TURBULENCE, by Alan Greenspan. (Penguin Press, $35.) A	2	4
""	memoir by the longtime chairman of the Federal Reserve Board.		
""			
5	CELEBRITY DETOX, by Rosie O’Donnell. (Grand Central, $23.99.) The TV star	--	1
""	considers the “fame game” and its personal cost.		
""			
6	IF DEMOCRATS HAD ANY BRAINS, THEY’D BE REPUBLICANS, by Ann	3	2
""	Coulter. (Crown Forum, $24.95.) A collection of the columnist’s provocative		
""	quotations.		
""			
7	THE DAY OF BATTLE, by Rick Atkinson. (Holt, $35.) The American Army in Sicily	6	2
""	and Italy, 1943-44; the second volume of the Liberation trilogy.		
""			
8	THE NINE, by Jeffrey Toobin. (Doubleday, $27.95.) A portrait of the Supreme	4	4
""	Court since the Reagan administration focuses on the influence of its moderates.		
""			
9	LOUDER THAN WORDS, by Jenny McCarthy. (Dutton, $23.95.) A mother	5	4
""	struggles to find treatment for her son’s autism.		
""			
10	THE WAR, by Geoffrey C. Ward. (Knopf, $50.) A companion to the seven-part	7	5
""	PBS documentary, with photographs.		
""			
11	QUIET STRENGTH, by Tony Dungy with Nathan Whitaker. (Tyndale, $26.99.) A	12	14
""	memoir by the first black coach to win a Super Bowl (with the Indianapolis Colts in		
""	2007).		
""			
12	A LIFETIME OF SECRETS, by Frank Warren. (Morrow, $27.95.) Still more	--	1
""	postcard confessions from the PostSecret Project.		
""			
13	THE COLDEST WINTER, by David Halberstam. (Hyperion, $35.) A history of the	8	3
""	Korean War from the author of “The Best and the Brightest,” who died earlier this		
""	year.		
""			
14	POWER TO THE PEOPLE, by Laura Ingraham. (Regnery, $27.95.) The political	10	5
""	commentator urges Americans to restore traditional conservative principles.		
""			
15	THE YEAR OF LIVING BIBLICALLY, by A. J. Jacobs. (Simon & Schuster, $25.)	--	1
