This	September 11, 2016	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE UNDERGROUND RAILROAD, by Colson Whitehead. (Doubleday.) A slave girl	1	4
""	heads toward freedom on the network, envisioned as actual tracks and tunnels.		
""			
2	STING, by Sandra Brown. (Grand Central.) A hired killer and a woman he kidnapped	2	2
""	join forces to elude the F.B.I. agents and others who are searching for her corrupt		
""	brother.		
""			
3	CURIOUS MINDS, by Janet Evanovich and Phoef Sutton. (Bantam.) The first of a	3	2
""	new series featuring Emerson Knight, an eccentric millionaire, and Riley Moon, an		
""	analyst at a mega-bank.		
""			
4	THE WOMAN IN CABIN 10, by Ruth Ware. (Scout.) A travel writer on a cruise is	4	6
""	certain she has heard a body thrown overboard, but no one believes her.		
""			
5	TRULY MADLY GUILTY, by Liane Moriarty. (Flatiron.) Three couples at a backyard	5	5
""	barbecue gone wrong.		
""			
6	DAMAGED, by Lisa Scottoline. (St. Martin’s.) In the 15th Rosato & DiNunzio novel,	6	2
""	Mary DiNunzio defends a dyslexic fifth grader accused of attacking a school aide.		
""			
7	BULLSEYE, by James Patterson and Michael Ledwidge. (Little, Brown.) While the	7	4
""	president of the United States is in New York to meet with his Russian counterpart,		
""	Detective Michael Bennett must stop a team of assassins.		
""			
8	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	9	121
""	blind French girl and a gadget-obsessed German boy before and during World War		
""	II.		
""			
9	THE NIGHTINGALE, by Kristin Hannah. (St. Martin’s.) Two sisters in World War II	13	76
""	France: one struggling to survive in the countryside, the other joining the Resistance		
""	in Paris.		
""			
10	THE GIRLS, by Emma Cline. (Random House.) In the summer of 1969, a California	11	11
""	teenager is drawn to a Manson-like cult.		
""			
11	THE BLACK WIDOW, by Daniel Silva. (Harper.) Gabriel Allon, the Israeli art restorer	10	7
""	and spy, recruits a doctor from Jerusalem to help capture a secret ISIS terrorist in		
""	France.		
""			
12	INSIDIOUS, by Catherine Coulter. (Gallery Books.) Two cases — one concerning an	8	3
""	attempted poisoning in Washington and another about the hunt for a serial killer in		
""	Los Angeles — are the focus of Coulter’s 20th F.B.I. thriller.		
""			
13	BEFORE THE FALL, by Noah Hawley. (Grand Central.) After a private jet crashes, a	15	13
""	firestorm of media madness ensues.		
""			
14	THREE SISTERS, THREE QUEENS, by Philippa Gregory. (Touchstone.) The ties	12	3
This	September 11, 2016	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE GIRL WITH THE LOWER BACK TATTOO, by Amy Schumer. (Gallery	1	2
""	Books.) Humorous personal essays by the comedian, actor and writer.		
""			
2	HILLBILLY ELEGY, by J. D. Vance. (HarperCollins.) A Yale Law School graduate	2	5
""	looks at the struggles of America’s white working class through his own childhood		
""	in the Rust Belt.		
""			
3	ARMAGEDDON, by Dick Morris and Eileen McGann. (Humanix.) The political	3	6
""	strategist offers a game plan for how to defeat Hillary Clinton.		
""			
4	WHEN BREATH BECOMES AIR, by Paul Kalanithi. (Random House.) A memoir	4	33
""	by a physician who received a diagnosis of Stage IV lung cancer at the age of 36.		
""			
5	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	5	59
""	meditation on race in America.		
""			
6	HAMILTON: THE REVOLUTION, by Lin-Manuel Miranda and Jeremy McCarter.	6	20
""	(Grand Central/Melcher Media.) The libretto of the award-winning musical, with		
""	backstage photos, a production history and interviews with the cast.		
""			
7	CRISIS OF CHARACTER, by Gary J. Byrne with Grant M. Schmidt. (Center	7	9
""	Street.) A former Secret Service officer claims to have witnessed scandalous		
""	behavior by the Clintons.		
""			
8	WHITE TRASH, by Nancy Isenberg. (Viking.) The role of the white poor in	10	10
""	American history.		
""			
9	GRIT, by Angela Duckworth. (Scribner.) A psychologist says passion and	11	17
""	perseverance are the keys to success.		
""			
10	AMERICAN HEIRESS, by Jeffrey Toobin. (Doubleday.) The story of Patty Hearst’s	12	4
""	kidnapping in 1974 by the Symbionese Liberation Army, her crimes and her trial.		
""			
11	LIARS, by Glenn Beck. (Threshold.) The author says progressive politicians gain	8	4
""	power and control by exploiting Americans’ fears.		
""			
12	HILLARY'S AMERICA, by Dinesh D'Souza. (Regnery.) The conservative author	9	6
""	and pundit warns of disaster if Hillary Clinton is elected president.		
""			
13	THE MAKING OF DONALD TRUMP, by David Cay Johnston. (Melville House.) An	13	4
""	in-depth look at the presidential nominee, his real estate career and pivot to		
""	politics, drawing on decades of interviews and financial records.		
""			
14	SHOE DOG, by Phil Knight. (Scribner.) A memoir by the founder of Nike.	14	18
""			
15	TRUMP REVEALED, by Michael Kranish and Marc Fisher. (Scribner.) A biography	--	1
""	by two Washington Post editors based on the work of more than 20 of the paper’s		
