This	September 16, 2001	Last	Weeks
Week	Fiction	Week	On List
""			
1	VALHALLA RISING, by Clive Cussler. (Putnam, $27.95.) Dirk Pitt probes the	1	3
""	mysterious sinking of a state-of-the-art luxury liner in the year 2003.		
""			
2	ENVY, by Sandra Brown. (Warner, $25.95.) A book editor receives an intriguing	--	1
""	anonymous manuscript and sets out to discover its author's identity.		
""			
3	THE SMOKE JUMPER, by Nicholas Evans. (Delacorte, $26.95.) A cataclysmic	5	2
""	wilderness fire forces a woman to choose between the two men she loves.		
""			
4	SUZANNE'S DIARY FOR NICHOLAS, by James Patterson. (Little, Brown,	2	7
""	$22.95.) A woman who thinks she has found the perfect man discovers he has		
""	disappeared, leaving behind only someone else's journal.		
""			
5	SHOCK, by Robin Cook. (Putnam, $24.95.) Two young women uncover troubling	--	1
""	irregularities at the fertility clinic to which they have donated eggs.		
""			
6	HEMLOCK BAY, by Catherine Coulter. (Putnam, $24.95.) An F.B.I. agent is	3	4
""	looking into the kidnapping of two teenage boys when his sister ends up in a		
""	suspicious car crash.		
""			
7	LAKE WOBEGON SUMMER 1956, by Garrison Keillor. (Viking, $24.95.) A	--	1
""	coming-of-age novel by the radio personality, set in the fictitious Minnesota town.		
""			
8	CANE RIVER, by Lalita Tademy. (Warner, $24.95.) The story of four generations	4	11
""	of African-American women, from 1834 to 1936.		
""			
9	THE FORGOTTEN, by Faye Kellerman. (Morrow, $26.) Peter Decker and Rina	8	3
""	Lazarus investigate the murder of a boy who vandalized their synagogue.		
""			
10	HOSTAGE, by Robert Crais. (Doubleday, $24.95.) Three men's late-afternoon joy	10	4
""	ride in Los Angeles results in a murder and a tense standoff with the police.		
""			
11	THE WOMAN NEXT DOOR, by Barbara Delinsky. (Simon & Schuster, $25.) The	6	5
""	lives of three married couples in suburban Connecticut are turned upside down by		
""	the arrival of an attractive young widow.		
""			
12	THE FOURTH HAND, by John Irving. (Random House, $26.95.) Life takes	9	9
""	unusual turns for a television reporter whose hand is eaten by a lion in India.		
""			
13	ANY WAY THE WIND BLOWS, by E. Lynn Harris. (Doubleday, $19.95.) A	7	8
""	Broadway star seeks a measure of revenge on the man who left her at the altar.		
""			
14	BLUE DIARY, by Alice Hoffman. (Putnam, $24.95.) A woman leading an idyllic life	12	6
""	in a small town discovers that her husband once committed a terrible crime.		
""			
15	LEAP OF FAITH, by Danielle Steel. (Delacorte, $19.95.) Upon returning to the	--	10
""	French chateau of her childhood, a woman encounters love and danger.		
This	September 16, 2001	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE WILD BLUE, by Stephen E. Ambrose. (Simon & Schuster, $26.) A history of	1	3
""	the young Americans who flew B-24's over Germany in World War II.		
""			
2	JOHN ADAMS, by David McCullough. (Simon & Schuster, $35.) A biography of	2	15
""	the country's first vice president and second president.		
""			
3	"CROSSING OVER, by John Edward. (Jodere, $23.95.) A ""psychic television host"""	5	2
""	discusses his work and recounts conversations with those who crossed the bar.		
""			
4	SEABISCUIT, by Laura Hillenbrand. (Random House, $24.95.) A biography of the	10	26
""	horse whose career culminated in a 1938 match race with War Admiral.		
""			
5	GHOST SOLDIERS, by Hampton Sides. (Doubleday, $24.95.) The story of a	3	16
""	United States Army plan to rescue prisoners of war (including survivors of the		
""	Bataan death march) in the Philippines in early 1945.		
""			
6	TUESDAYS WITH MORRIE, by Mitch Albom. (Doubleday, $19.95.) The author, a	6	202
""	sportswriter, tells of his weekly visits to his old college mentor, who was near		
""	death's door.		
""			
7	FOUNDING BROTHERS, by Joseph J. Ellis. (Knopf, $26.) A historian's study of	4	38
""	the intertwined lives of the nation's founders.		
""			
8	THE MAP THAT CHANGED THE WORLD, by Simon Winchester. (HarperCollins,	8	4
""	$26.) The story of William Smith, who in 1815 published the first geological map of		
""	the British Isles.		
""			
9	DIANA'S BOYS, by Christopher Andersen. (Morrow, $26.) The lives of princes	9	3
""	William and Harry, before and after the death of their mother, Diana, Princess of		
""	Wales.		
""			
10	IT'S NOT ABOUT THE BIKE, by Lance Armstrong with Sally Jenkins. (Putnam,	11	46
""	$24.95.) A memoir by the three-time Tour de France champion and cancer		
""	survivor.		
""			
11	JUSTICE, by Dominick Dunne. (Crown, $24.) A collection of essays about crimes	7	10
""	and criminals, trials and punishments.		
""			
12	AVA'S MAN, by Rick Bragg. (Knopf, $25.) A journalist reconstructs the	12	2
""	Depression-era Deep South through a portrait of a grandfather he never knew.		
""			
13	IT'S ONLY A GAME, by Terry Bradshaw with David Fisher. (Pocket Books,	--	1
""	$24.95.) A memoir by the sports broadcaster and former star quarterback.		
""			
14	NICKEL AND DIMED, by Barbara Ehrenreich. (Metropolitan/Holt, $23.) Not getting	13	13
""	by in America: a social critic reports on what it was like to become a member of		
""	the working poor.		
