This	November 29, 2015	Last	Weeks
Week	Fiction	Week	On List
""			
1	ROGUE LAWYER, by John Grisham. (Doubleday.) The attorney Sebastian Rudd is	3	4
""	a “lone gunman” who hates injustice and the system and defends unpopular clients.		
""			
2	THE BAZAAR OF BAD DREAMS, by Stephen King. (Scribner.) Twenty stories,	1	2
""	some never before published.		
""			
3	THE CROSSING, by Michael Connelly. (Little, Brown.) The retired detective Harry	2	2
""	Bosch reluctantly agrees to help his half brother, a defense attorney, and his		
""	investigations lead him inside the L.A.P.D.		
""			
4	THE MAGIC STRINGS OF FRANKIE PRESTO, by Mitch Albom. (Harper.) A	--	1
""	mystical tale of a guitar genius’s journey through 20th-century music.		
""			
5	SEE ME, by Nicholas Sparks. (Grand Central.) A couple in love are threatened by	4	5
""	secrets from the past.		
""			
6	CRIMSON SHORE, by Douglas Preston and Lincoln Child. (Grand Central.) In the	--	1
""	15th thriller featuring the F.B.I. agent Aloysius Pendergast, a crime in a quaint		
""	Massachusetts town may be connected to rumors of a colony of witches who settled		
""	there after the Salem trials.		
""			
7	THE PROMISE, by Robert Crais. (Putnam.) The Los Angeles P.I. Elvis Cole joins	--	1
""	forces with the K-9 officer Scott James of the L.A.P.D. and his German shepherd,		
""	Maggie, as well as his partner, Joe Pike, to foil a criminal mastermind.		
""			
8	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	9	80
""	blind French girl and a gadget-obsessed German boy before and during World War		
""	II.		
""			
9	THE JAPANESE LOVER, by Isabel Allende. (Atria.) A young refugee from the Nazis	--	1
""	and the son of her family’s Japanese gardener must hide their love, although it lasts		
""	a lifetime.		
""			
10	CAREER OF EVIL, by Robert Galbraith. (Mulholland/Little, Brown.) In the third novel	6	4
""	about the private investigative team of Cormoran Strike and Robin Ellacott, the pair		
""	pursue a psychotic stalker; by J. K. Rowling, writing pseudonymously.		
""			
11	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller	11	44
""	set in the environs of London.		
""			
12	THE SURVIVOR, by Vince Flynn and Kyle Mills. (Emily Bestler/Atria.) The	8	6
""	counterterrorism operative Mitch Rapp must control the damage from a leak of C.I.A.		
""	documents. Mills finished the book for Flynn, who died in 2013.		
""			
13	DEPRAVED HEART, by Patricia Cornwell. (Morrow/HarperCollins.) A psychopath	7	3
""	sends Dr. Kay Scarpetta videos from the past about her niece in the series’s 23rd		
""	book.		
This	November 29, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	DESTINY AND POWER, by Jon Meacham. (Random House.) A biography of	--	1
""	George H.W. Bush.		
""			
2	THOMAS JEFFERSON AND THE TRIPOLI PIRATES, by Brian Kilmeade and	3	2
""	Don Yaeger. (Sentinel.) The war against the Barbary pirates in 1801.		
""			
3	KILLING REAGAN, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	2	8
""	O’Reilly Factor” recounts the events surrounding the attempted assassination of		
""	President Reagan in 1981.		
""			
4	TROUBLEMAKER, by Leah Remini and Rebecca Paley. (Ballantine.) The actress	1	2
""	describes her life in Scientology and the aftermath of her break with the church in		
""	2013.		
""			
5	THE WITCHES, by Stacy Schiff. (Little, Brown.) An account of the Salem witch	6	3
""	trials of 1692.		
""			
6	CRIPPLED AMERICA, by Donald J. Trump. (Threshold Editions.) The real estate	5	2
""	developer and candidate for the Republican presidential nomination shares his		
""	ideas for making America great again.		
""			
7	MY LIFE ON THE ROAD, by Gloria Steinem. (Random House.) A memoir by the	9	3
""	feminist writer and activist is also a history of the movement.		
""			
8	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	13	18
""	meditation on race in America as well as a personal story by the Atlantic's national		
""	correspondent.		
""			
9	A MORE PERFECT UNION, by Ben Carson with Candy Carson. (Sentinel.) A	4	6
""	discussion of the Constitution by the candidate for the Republican presidential		
""	nomination.		
""			
10	BINGE, by Tyler Oakley. (Gallery Books.) Personal essays from the L.G.B.T.Q.	11	4
""	YouTube personality.		
""			
11	WILDFLOWER, by Drew Barrymore. (Dutton.) The actress and former child star	12	3
""	shares stories about her life.		
""			
12	LIGHTS OUT, by Ted Koppel. (Crown.) The journalist warns that we are	8	3
""	unprepared for a cyberattack on the nation’s power grids could paralyze our		
""	infrastructure.		
""			
13	WHY NOT ME?, by Mindy Kaling. (Crown Archetype.) More personal essays from	--	8
""	the comedian and actress.		
""			
14	EXTREME OWNERSHIP, by Jocko Willink and Leif Babin. (St. Martin's.) Applying	7	4
""	the principles of Navy SEALs leadership training to any organization.		
