This	August 16, 2015	Last	Week
Week	Fiction	Week	On Li
""			
1	GO SET A WATCHMAN, by Harper Lee. (Harper.) In the mid-1950s, a grown-up Jean	1	3
""	Louise Finch returns home to find that her adored father is not as perfect as she		
""	believed.		
""			
2	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set	2	29
""	in the environs of London.		
""			
3	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	3	65
""	French girl and a gadget-obsessed German boy before and during World War II; the		
""	winner of the 2015 Pulitzer Prize.		
""			
4	"CIRCLING THE SUN, by Paula Mclain. (Ballantine.) A novel by the author of ""The Paris"	--	1
""	"Wife"" about Beryl Markham: raised in Kenya, a horse trainer and aviatrix and the lover"		
""	of Denys Finch Hatton.		
""			
5	BADLANDS, by C. J. Box. (Minotaur.) Detective Cassie Dewell must deal with a drug-	--	1
""	gang war in a North Dakota oil boomtown, where a paperboy has accidentally taken		
""	possession of a shipment.		
""			
6	THE ENGLISH SPY, by Daniel Silva. (Harper.) Gabriel Allon, an art restorer and	4	5
""	occasional spy for the Israeli secret service, helps British intelligence track down the		
""	killer of a beautiful former member of the royal family.		
""			
7	CODE OF CONDUCT, by Brad Thor. (Emily Bestler/Atria.) In Thor’s 15th thriller, the	5	4
""	counterterrorism operative Scot Harvath undertakes a deadly assignment set in motion		
""	by a leaked video.		
""			
8	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	8	26
""	France: one struggling to survive in the countryside, the other joining the Resistance in		
""	Paris.		
""			
9	ARMADA, by Ernest Cline. (Crown.) A teenage gamer helps save the Earth from an	6	3
""	alien invasion.		
""			
10	LUCKIEST GIRL ALIVE, by Jessica Knoll. (Simon & Schuster.) The life of a successful	10	12
""	New York magazine writer is shaken when secrets from her past are revealed.		
""			
11	THE RUMOR, by Elin Hilderbrand. (Little, Brown.) Two friends on Nantucket must deal	9	7
""	with damaging gossip about themselves and their husbands.		
""			
12	SPEAKING IN BONES, by Kathy Reichs. (Bantam.) The forensic anthropologist	7	2
""	Temperance Brennan becomes involved in an investigation with an amateur		
""	"""websleuth."""		
""			
13	THE LITTLE PARIS BOOKSHOP, by Nina George. (Crown.) A bookseller embarks on	11	5
""	a journey in pursuit of his own happiness.		
This	August 16, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BETWEEN THE WORLD AND ME, by Ta-Nehisi Coates. (Spiegel & Grau.) A	1	3
""	meditation on race in America as well as a personal story by the national		
""	correspondent of The Atlantic, framed as a letter to his teenage son.		
""			
2	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	2	13
""	of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
3	MODERN ROMANCE, by Aziz Ansari with Eric Klinenberg. (Penguin Press.) The	3	7
""	comedian enlists a sociologist to help him understand today’s dating scene.		
""			
4	A FULL LIFE, by Jimmy Carter. (Simon & Schuster.) At 90, the 39th president	10	4
""	(and Nobel Prize winner) reflects on his private and public life.		
""			
5	DOWN THE RABBIT HOLE, by Holly Madison. (Dey Street/Morrow.) Life inside	4	6
""	the Playboy Mansion, by a former bunny and girlfriend of Hugh Hefner.		
""			
6	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	6	43
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
7	DEAD WAKE, by Erik Larson. (Crown.) The last voyage of the Lusitania, the	9	21
""	passenger liner sunk by a German torpedo in 1915.		
""			
8	SICK IN THE HEAD, by Judd Apatow. (Random House.) Thirty years’ worth of the	7	7
""	filmmaker’s interviews with comedians.		
""			
9	THE CONSERVATIVE HEART, by Arthur C. Brooks. (Broadside/HarperCollins.)	8	3
""	The president of the American Enterprise Institute urges conservatives to revise		
""	their rhetoric and make clear their concern for everyday people.		
""			
10	THE OREGON TRAIL, by Rinker Buck. (Simon & Schuster.) The author and his	11	5
""	brother travel 2,000 miles by mule and wagon from Missouri to Oregon.		
""			
11	BARBARIAN DAYS, by William Finnegan. (Penguin Press.) This surfing chronicle	5	2
""	and memoir by a New Yorker writer celebrates a lifelong obsession.		
""			
12	THE ROAD TO CHARACTER, by David Brooks. (Random House.) The Times	12	16
""	columnist extols personal virtues like kindness and honesty in a materialistic age.		
""			
13	A TIME FOR TRUTH, by Ted Cruz. (Broadside/HarperCollins.) The Texas senator	13	4
""	and Republican presidential candidate tells his personal and political story, and		
""	"offers ideas for ""reigniting the promise of America."""		
""			
14	THE BILLION DOLLAR SPY, by David E. Hoffman. (Doubleday.) A Pulitzer Prize-	--	3
""	winning journalist's biography of Adolf Tolkachev, who spied for the United States		
""	inside the Soviet Union.		
