This	April 26, 2015	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological	1	13
""	thriller set in London.		
""			
2	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	4	49
""	blind French girl and a gadget-obsessed German boy before and during World		
""	War II.		
""			
3	THE STRANGER, by Harlan Coben. (Dutton.) Characters’ lives begin to fall apart	3	3
""	as a mysterious stranger discloses secrets to them; a stand-alone thriller.		
""			
4	HOT PURSUIT, by Stuart Woods. (Putnam.) In the 33rd Stone Barrington novel,	--	1
""	the New York lawyer pursues an attractive pilot and must deal with her stalker ex-		
""	boyfriend as well as intrigue in the Middle East.		
""			
5	FALLING IN LOVE, by Donna Leon. (Atlantic Monthly.) Commissario Guido	--	1
""	Brunetti becomes involved when an obsessive fan stalks a diva.		
""			
6	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	8	10
""	France: one struggling to survive in the countryside, the other joining the		
""	Resistance in Paris.		
""			
7	AT THE WATER'S EDGE, by Sara Gruen. (Spiegel & Grau.) In the course of a	6	2
""	search for the Loch Ness monster during World War II, a Philadelphia socialite		
""	uncovers secrets about her husband.		
""			
8	THE PATRIOT THREAT, by Steve Berry. (Minotaur.) The former government	5	2
""	operative Cotton Malone searches for a North Korean who may have acquired		
""	secret files.		
""			
9	BLOOD ON SNOW, by Jo Nesbo. (Knopf.) A job goes wrong for an Oslo contract	--	1
""	killer.		
""			
10	MIRACLE AT AUGUSTA, by James Patterson and Peter de Jonge. (Little, Brown.)	--	1
""	A troubled famous golfer finds redemption in mentoring a talented teenager.		
""			
11	A SPOOL OF BLUE THREAD, by Anne Tyler. (Knopf.) Four generations of a	7	9
""	family are drawn to a house in the Baltimore suburbs.		
""			
12	INSIDE THE O'BRIENS, by Lisa Genova. (Gallery Books.) A Boston cop and his	--	1
""	family must contend with a diagnosis of Huntington’s disease; by the author of		
""	“Still Alice.”		
""			
13	NYPD RED 3, by James Patterson and Marshall Karp. (Little, Brown.) Detective	10	4
""	Zach Jordan and his partner investigate the disappearance of a billionaire’s son.		
""			
14	CHASING SUNSETS, by Karen Kingsbury. (Howard Books.) Book 2 in the Angels	--	1
""	Walking series.		
This	April 26, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BILL O'REILLY'S LEGENDS AND LIES, by David Fisher. (Holt.) Stories of the	--	1
""	American West; a companion volume to the Fox News series.		
""			
2	DEAD WAKE, by Erik Larson. (Crown.) The last voyage of the Lusitania, by the	1	5
""	"author of ""The Devil in the White City."""		
""			
3	THE RESIDENCE, by Kate Andersen Brower. (Harper.) Fifty years of White	--	1
""	House lore, based on interviews with butlers, maids, chefs and other staff		
""	members.		
""			
4	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	2	27
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
5	A FINE ROMANCE, by Candice Bergen. (Simon & Schuster.) The actress's	--	1
""	"memoir discusses her marriage to Louis Malle, her work on ""Murphy Brown"" and"		
""	the birth of her daughter at 39.		
""			
6	BETWEEN YOU & ME, by Mary Norris. (Norton.) A memoir of a career in the New	13	2
""	Yorker's storied copy department, along with grammar advice.		
""			
7	A CURIOUS MIND, by Brian Grazer and Charles Fishman. (Simon & Schuster.)	--	1
""	The Oscar-winning producer describes the importance of curiosity in his life, and		
""	how others can harness its power.		
""			
8	H IS FOR HAWK, by Helen Macdonald. (Grove.) A grief-stricken British woman	4	8
""	decides to raise a goshawk, a fierce bird that is notoriously difficult to tame.		
""			
9	WHAT IF?, by Randall Munroe. (Houghton Mifflin Harcourt.) Scientific (but often	9	32
""	humorous) answers to hypothetical questions, based in part on the author’s		
""	website, xkcd.com.		
""			
10	YES PLEASE, by Amy Poehler. (Dey Street/Morrow.) A humorous miscellany from	7	24
""	the comedian and actress.		
""			
11	BECOMING STEVE JOBS, by Brent Schlender and Rick Tetzeli. (Crown	3	3
""	Business.) Jobs, who started out as a brash young genius, developed a more		
""	mature management style.		
""			
12	IN DEFENSE OF A LIBERAL EDUCATION, by Fareed Zakaria. (Norton.) A case	6	2
""	for the centrality of the curriculum in the sciences and humanities.		
""			
13	KILLING PATTON, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	5	29
""	O’Reilly Factor” recounts the death of Gen. George S. Patton in December 1945.		
""			
14	HERETIC, by Ayaan Hirsi Ali. (Harper.) The author of “Infidel” and “Nomad”	8	3
""	argues that fundamental doctrines of Islam must change for it to be compatible		
