This	September 11, 2011	Last	Week
Week	Fiction	Week	On Li
""			
1	FLASH AND BONES, by Kathy Reichs. (Scribner, $26.99.) A turbocharged case	--	1
""	unfolds for the forensic anthropologist Temperance Brennan in the series behind the		
""	"show ""Bones."""		
""			
2	A DANCE WITH DRAGONS, by George R. R. Martin. (Bantam, $35.) After a colossal	2	7
""	"battle, the Seven Kingdoms face new threats; Book 5 of ""A Song of Ice and Fire."""		
""			
3	THE MEASURE OF THE MAGIC, by Terry Brooks. (Del Rey/Ballantine, $27.) With the	--	1
""	land on edge, Panterra is destined to confront a menace who seeks to claim the last		
""	black staff, and the life of the one who wields it.		
""			
4	THE OMEN MACHINE, by Terry Goodkind. (Tor/Tom Doherty, $29.99.) A return to the	1	2
""	lives of Richard Rahl and Kahlan Amnell, in a tale of a new threat to their world.		
""			
5	COLD VENGEANCE, by Douglas Preston and Lincoln Child. (Grand Central, $26.99.)	5	4
""	Devastated by the murder of his wife, Special Agent Aloysius Pendergast seeks		
""	retribution. But as he hunts her betrayers, a monstrous conspiracy emerges.		
""			
6	FULL BLACK, by Brad Thor. (Atria, $26.99.) The covert counterterrorism operative	3	5
""	Scot Harvath has a plan to stop a terrorist group that wants to take down the United		
""	States.		
""			
7	THE GIRL WHO KICKED THE HORNET’S NEST, by Stieg Larsson. (Knopf, $27.95.)	10	66
""	The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.		
""			
8	THE HELP, by Kathryn Stockett. (Amy Einhorn/Putnam, $24.95.) A young white	4	106
""	woman and two black maids in 1960s Mississippi.		
""			
9	GHOST STORY, by Jim Butcher. (Roc, $27.95.) Harry Dresden, the wizard detective	6	5
""	in Chicago, has been murdered. But that doesn’t stop him when his friends are in		
""	danger.		
""			
10	THE PARIS WIFE, by Paula McLain. (Ballantine, $25.) Ernest Hemingway's first wife	14	22
""	narrates this novel set in Paris.		
""			
11	PORTRAIT OF A SPY, by Daniel Silva. (Harper/HarperCollins, $26.99.) To stop a	8	6
""	network of death, an international operative must reach into his violent past.		
""			
12	STATE OF WONDER, by Ann Patchett. (Harper/HarperCollins, $26.99.) In Brazil, a	12	12
""	medical researcher seeks her former mentor, who is developing a miracle fertility drug.		
""			
13	ONE SUMMER, by David Baldacci. (Grand Central, $25.99.) After the death of his	--	8
""	devoted wife, a father struggles to keep his family together, and in the process learns		
""	to love again.		
""			
14	THE IDEAL MAN, by Julie Garwood. (Dutton, $26.95.) A doctor who witnesses the	7	3
""	shooting of an F.B.I. agent finds herself drawn to the agent leading the case.		
This	September 11, 2011	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A STOLEN LIFE, by Jaycee Dugard. (Simon & Schuster, $24.99.) A woman tells of	1	7
""	being kidnapped at the age of 11 and held prisoner for 18 years by a convicted		
""	rapist and his wife.		
""			
2	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner's	2	41
""	story of survival as a prisoner of the Japanese in World War II.		
""			
3	IN THE GARDEN OF BEASTS, by Erik Larson. (Crown, $26.) This portrait of Berlin	3	16
""	during the rise of the Nazi Party concentrates on William E. Dodd, who became the		
""	U.S. ambassador to Germany in 1933, and his daughter, Martha.		
""			
4	AFTER AMERICA, by Mark Steyn. (Regnery, $29.95.) The writer foresees	4	3
""	Armageddon for America, which he says has caught up with Europe in the rush to		
""	self-destruction.		
""			
5	THE GREATER JOURNEY, by David McCullough. (Simon & Schuster, $37.5.) The	6	14
""	historian explores the intellectual legacy that France settled on its 19th-century		
""	visitors.		
""			
6	1493, by Charles C. Mann. (Knopf, $30.5.) Picking up where “1491” left off, the	5	3
""	author says that ecological encounters since Columbus have affected much of		
""	subsequent human history.		
""			
7	COCKTAIL HOUR UNDER THE TREE OF FORGETFULNESS, by Alexandra	--	1
""	Fuller. (Penguin Press, $25.95.) Fuller’s mother is at the center of this memoir set in		
""	Africa.		
""			
8	BOSSYPANTS, by Tina Fey. (Reagan Arthur/Little, Brown, $26.99.) A memoir from	7	21
""	"the creator of ""30 Rock."""		
""			
9	RAFA, by Rafael Nadal and John Carlin. (Hyperion, $27.99.) The 25-year-old tennis	--	1
""	star reveals the secrets of his game and shares the story behind his meteoric rise.		
""			
10	EIGHTY-DOLLAR CHAMPION, by Elizabeth Letts. (Ballantine, $26.) The story of	--	1
""	Snowman the horse, the extraordinary jumper and national celebrity.		
""			
11	SEAL TEAM SIX, by Howard E. Wasdin and Stephen Templin. (St. Martin's,	9	16
""	$26.99.) An expert sniper and former member of the Navy Seals recounts his		
""	training and missions.		
""			
12	GOD, NO!, by Penn Jillette. (Simon & Schuster, $24.99.) The louder half of the	14	2
""	magic duo Penn & Teller offers a wisecracking atheist’s view of the world.		
""			
13	GHOST IN THE WIRES, by Kevin Mitnick with William L. Simon. (Little, Brown,	16	2
""	$25.99.) A onetime “most wanted” criminal of cyberspace recounts his exploits.		
""			
14	WENDY AND THE LOST BOYS, by Julie Salamon. (Penguin Press, $29.95.) A	--	1
