This	February 24, 2013	Last	Weeks
Week	Fiction	Week	On List
""			
1	GONE GIRL, by Gillian Flynn. (Crown, $25.) A woman disappears on her fifth	2	36
""	anniversary; is her husband a killer?		
""			
2	TENTH OF DECEMBER, by George Saunders. (Random House, $26.) Stories that	5	5
""	take on the big questions.		
""			
3	A MEMORY OF LIGHT, by Robert Jordan and Brandon Sanderson. (Tor/Tom	3	5
""	Doherty, $34.99.) The 14th and final novel in the Wheel of Time fantasy series.		
""			
4	TOUCH AND GO, by Lisa Gardner. (Dutton, $26.95.) An investigator probing the	--	1
""	disappearance of a seemingly perfect Boston family must dig beneath the surface.		
""			
5	PRIVATE BERLIN, by James Patterson and Mark Sullivan. (Little, Brown &	4	3
""	Company, $27.99.) A superstar agent at the German headquarters of an		
""	investigation firm disappears.		
""			
6	UNTIL THE END OF TIME, by Danielle Steel. (Delacorte, $28.) The stories of two	1	2
""	relationships, at different times, intersect unexpectedly.		
""			
7	SUSPECT, by Robert Crais. (Putnam, $27.95.) A Los Angeles policeman and a	6	3
""	German shepherd, both suffering from PTSD, search for the killers of the cop’s		
""	partner.		
""			
8	A DEEPER LOVE INSIDE, by Sister Souljah. (Atria/Emily Bestler Books, $26.99.) A	7	2
""	sequel to “The Coldest Winter Ever” focuses on Winter’s younger sister, Porsche		
""	Santiaga.		
""			
9	THE TWELVE TRIBES OF HATTIE, by Ayana Mathis. (Knopf, $24.95.) Fifty-some	14	9
""	years in the life of an African-American family whose matriarch arrives in		
""	Philadelphia in 1923.		
""			
10	THE FIFTH ASSASSIN, by Brad Meltzer. (Grand Central, $27.99.) Beecher White	9	4
""	tracks an assassin who is recreating the crimes of the four men who murdered		
""	presidents.		
""			
11	THE RACKETEER, by John Grisham. (Doubleday, $28.95.) An imprisoned ex-	10	16
""	lawyer schemes to exchange information about a murdered federal judge for his		
""	freedom.		
""			
12	DEADLY STAKES, by J. A. Jance. (Touchstone, $25.99.) Ali Reynolds must	--	1
""	determine whether two crimes in Arizona are related in order to stop the killer.		
""			
13	INSANE CITY, by Dave Barry. (Putnam, $26.95.) The run-up to a glamorous	12	2
""	wedding involves pranks, criminals, high-speed chases, exotic animals and other		
""	mayhem.		
""			
14	THE THIRD BULLET, by Stephen Hunter. (Simon & Schuster, $26.99.) The veteran	13	4
This	February 24, 2013	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	MY BELOVED WORLD, by Sonia Sotomayor. (Knopf, $27.95.) The Supreme	1	4
""	Court justice recalls growing up in the Bronx, attending Princeton and becoming a		
""	federal judge.		
""			
2	AMERICAN SNIPER, by Chris Kyle with Scott McEwen and Jim DeFelice.	--	23
""	(Morrow/HarperCollins, $26.99.) A member of the Navy SEALs discusses his		
""	childhood, marriage and battlefield experiences.		
""			
3	KILLING KENNEDY, by Bill O'Reilly and Martin Dugard. (Holt, $28.) The host of	5	19
""	“The O’Reilly Factor” recounts the events surrounding the assassination of John F.		
""	Kennedy.		
""			
4	THE FUTURE, by Al Gore. (Random House, $30.) The six drivers of global	7	2
""	change that are reshaping our world.		
""			
5	GOING CLEAR, by Lawrence Wright. (Knopf, $28.95.) The Pulitzer Prize-winning	6	4
""	author examines the world of Scientology.		
""			
6	FRANCONA, by Terry Francona and Dan Shaughnessy. (Houghton Mifflin	2	3
""	Harcourt, $28.) The manager’s Red Sox years.		
""			
7	KILLING LINCOLN, by Bill O'Reilly and Martin Dugard. (Holt, $28.) The host of	8	72
""	"""The O'Reilly Factor"" recounts the events surrounding the assassination of"		
""	Abraham Lincoln.		
""			
8	NO EASY DAY, by Mark Owen with Kevin Maurer. (Dutton, $26.95.) An account	9	23
""	by a former member of the Navy SEALs, written pseudonymously, of the mission		
""	that killed bin Laden.		
""			
9	REMEMBERING WHITNEY, by Cissy Houston with Lisa Dickey.	4	2
""	(Harper/HarperCollins, $27.99.) The gospel singer discusses her daughter		
""	Whitney’s life.		
""			
10	BEYOND BELIEF, by Jenna Miscavige Hill with Lisa Pulitzer.	--	1
""	(Morrow/HarperCollins, $27.99.) How the niece of the Scientology leader David		
""	Miscavige left the church at 21.		
""			
11	THOMAS JEFFERSON, by Jon Meacham. (Random House, $35.) The Pulitzer	11	13
""	Prize-winning biographer celebrates Jefferson’s skills as a practical politician.		
""			
12	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner's	10	117
""	story of survival as a prisoner of the Japanese in World War II.		
""			
13	THE THEORETICAL MINIMUM, by Leonard Susskind and George Hrabovsky.	--	1
""	(Basic Books.) An introduction to physics for the amateur.		
""			
14	THE POWER OF HABIT, by Charles Duhigg. (Random House, $28.) A Times	12	33
