This	January 25, 2009	Last	Weeks
Week	Fiction	Week	On List
""			
1	PLUM SPOOKY, by Janet Evanovich. (St. Martin’s, $27.95.) The bounty hunter	--	1
""	Stephanie Plum hunts an evil genius and his sidekick, who are hiding in New		
""	Jersey’s Pine Barrens.		
""			
2	THE HOST, by Stephenie Meyer. (Little, Brown, $25.99.) One woman won’t	3	35
""	surrender to the aliens who have taken control.		
""			
3	BLACK OPS, by W. E.B. Griffin. (Putnam, $26.95.) An Army officer and special	1	2
""	presidential agent is targeted for death — but by whom?		
""			
4	SCARPETTA, by Patricia Cornwell. (Putnam, $27.95.) The forensic pathologist	2	6
""	Kay Scarpetta takes on a new assignment in New York.		
""			
5	THE STORY OF EDGAR SAWTELLE, by David Wroblewski. (Ecco, $25.95.) A	6	31
""	young mute takes refuge with three dogs in the Wisconsin woods after his father’s		
""	death.		
""			
6	CROSS COUNTRY, by James Patterson. (Little, Brown, $27.99.) Alex Cross	4	8
""	chases the leader of a lethal teenage gang.		
""			
7	FIRE AND ICE, by Julie Garwood. (Ballantine, $26.) A reporter and her bodyguard	5	2
""	uncover a conspiracy in Alaska.		
""			
8	THE HOUR I FIRST BELIEVED, by Wally Lamb. (Harper, $29.95.) A man	9	9
""	reconstructs five generations of family history.		
""			
9	ECLIPSE, by Richard North Patterson. (Holt, $26.) A San Francisco lawyer agrees	--	1
""	to defend a Nigerian reformer whose wife he loved in college.		
""			
10	THE GUERNSEY LITERARY AND POTATO PEEL PIE SOCIETY, by Mary Ann	--	17
""	Shaffer and Annie Barrows. (Dial, $22.) A journalist travels to the island of		
""	Guernsey to meet residents who resisted the Nazi occupation.		
""			
11	FROM DEAD TO WORSE, by Charlaine Harris. (ACE, $24.95.) Following a	--	3
""	deadly explosion at a vampire summit, the cocktail waitress Sookie Stackhouse		
""	faces danger.		
""			
12	RUNNING HOT, by Jayne Ann Krentz. (Putnam, $25.95.) Two members of the	8	2
""	Arcane Society, dedicated to paranormal research, encounter a group of criminal		
""	sensitives.		
""			
13	A MERCY, by Toni Morrison. (Knopf, $23.95.) In 17th-century America, a slave	14	9
""	mother urges a Northern farmer to buy her daughter so that she can have a better		
""	life.		
""			
14	THE CHRISTMAS SWEATER, by Glenn Beck with Kevin Balfe and Jason Wright.	7	9
""	(Threshold Editions, $19.99.) A boy learns from his disappointment with his		
This	January 25, 2009	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	OUTLIERS, by Malcolm Gladwell. (Little, Brown, $27.99.) Why some people	1	8
""	succeed — it has to do with luck and opportunity — from the author of “Blink” and		
""	“The Tipping Point.”		
""			
2	GUILTY, by Ann Coulter. (Crown Forum, $27.95.) The columnist argues that	--	1
""	liberals victimize everyone else by pretending to be victims themselves.		
""			
3	DEWEY, by Vicki Myron with Bret Witter. (Grand Central, $19.99.) The kitten left	2	17
""	freezing in the returned-book slot of an Iowa public library and his rise to fame.		
""			
4	AMERICAN LION, by Jon Meacham. (Random House, $30.) Andrew Jackson in	3	9
""	the White House, by Newsweek’s editor.		
""			
5	TOO FAT TO FISH, by Artie Lange with Anthony Bozza. (Spiegel & Grau, $24.95.)	9	9
""	Humorous memories from the comedian, a member of the cast of “The Howard		
""	Stern Show.”		
""			
6	WISHFUL DRINKING, by Carrie Fisher. (Simon & Schuster, $21.) A memoir	7	5
""	based on Fisher’s one-woman show.		
""			
7	HOT, FLAT, AND CROWDED, by Thomas L. Friedman. (Farrar, Straus & Giroux,	8	18
""	$27.95.) How a green revolution can renew America, by the New York Times		
""	columnist.		
""			
8	WHY WE SUCK, by Denis Leary. (Viking, $26.95.) Sardonic essays from the actor	5	8
""	and comedian, currently the co-creator and star of the TV series “Rescue Me.”		
""			
9	MULTIPLE BLESSINGS, by Jon Gosselin, Kate Gosselin and Beth Carson.	4	12
""	(Zondervan, $19.) A couple has sextuplets.		
""			
10	A BOLD FRESH PIECE OF HUMANITY, by Bill O’Reilly. (Broadway, $26.) The	6	16
""	Fox News commentator on his upbringing and career.		
""			
11	THE RETURN OF DEPRESSION ECONOMICS AND THE CRISIS OF 2008, by	11	2
""	Paul Krugman. (Norton, $24.95.) The origins of the current financial crisis and how		
""	it can be contained, by the Nobel Prize-winning economist.		
""			
12	ARE YOU THERE, VODKA? IT’S ME, CHELSEA, by Chelsea Handler. (Simon	13	26
""	Spotlight Entertainment, $24.95.) Humorous personal essays from the stand-up		
""	comedian.		
""			
13	ANIMALS MAKE US HUMAN, by Temple Grandin and Catherine Johnson.	--	1
""	(Houghton Mifflin Harcourt, $26.) Being attentive to animals’ emotions, positive		
""	and negative, can help them have a better life.		
""			
14	THE SNOWBALL, by Alice Schroeder. (Bantam, $35.) The life of Warren Buffett.	10	15
