This	June 28, 2015	Last	Week
Week	Fiction	Week	On Li
""			
1	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological thriller set	2	22
""	in the environs of London.		
""			
2	FINDERS KEEPERS, by Stephen King. (Scribner.) A deranged reader's infatuation	1	2
""	"with a Salingeresque novelist has dangerous consequences in a sequel to ""Mr."		
""	"Mercedes."""		
""			
3	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a blind	3	58
""	French girl and a gadget-obsessed German boy before and during World War II; the		
""	winner of the 2015 Pulitzer Prize.		
""			
4	IN THE UNLIKELY EVENT, by Judy Blume. (Knopf.) Secrets are revealed and love	4	2
""	stories play out against the backdrop of a series of plane crashes in 1950s New		
""	Jersey.		
""			
5	RADIANT ANGEL, by Nelson DeMille. (Grand Central.) A surveillance expert monitors	5	3
""	the activities of a newly resurgent Russia.		
""			
6	ALL THE SINGLE LADIES, by Dorothea Benton Frank. (Morrow/HarperCollins.) Three	--	1
""	friends in South Carolina’s Lowcountry grapple with the challenges of being unmarried.		
""			
7	DEAD ICE, by Laurell K. Hamilton. (Berkley.) The vampire hunter Anita Blake helps the	--	1
""	F.B.I. investigate zombie porn.		
""			
8	LUCKIEST GIRL ALIVE, by Jessica Knoll. (Simon & Schuster.) The life of a successful	12	5
""	New York magazine writer is shaken when secrets from her past are revealed.		
""			
9	MEMORY MAN, by David Baldacci. (Grand Central.) A police detective uses his	6	8
""	extraordinary memory when tackling the case of his family's murder.		
""			
10	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	10	19
""	France: one struggling to survive in the countryside, the other joining the Resistance in		
""	Paris.		
""			
11	14TH DEADLY SIN, by James Patterson and Maxine Paetro. (Little, Brown.) A video of	8	6
""	a shocking crime surfaces, casting suspicion on a San Francisco detective's		
""	colleagues.		
""			
12	SEVENEVES, by Neal Stephenson. (Morrow/HarperCollins.) Five thousand years after	7	4
""	a small number of survivors of the moon’s explosion took refuge on an international		
""	space station, their descendants contemplate a return to Earth.		
""			
13	OUR SOULS AT NIGHT, by Kent Haruf. (Knopf.) A woman asks a widower to start	13	3
""	spending the night with her.		
""			
14	THE FIXER, by Joseph Finder. (Dutton.) A laid-off reporter investigates his ailing	--	1
""	father’s past after he discovers millions of dollars hidden in the old man’s house.		
This	June 28, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE WRIGHT BROTHERS, by David McCullough. (Simon & Schuster.) The story	1	6
""	of the bicycle mechanics from Ohio who ushered in the age of flight.		
""			
2	PRIMATES OF PARK AVENUE, by Wednesday Martin. (Simon & Schuster.) A	3	2
""	memoir of life among the wealthy women of the Upper East Side, in the satiric		
""	guise of an anthropological study.		
""			
3	BILL O'REILLY'S LEGENDS AND LIES, by David Fisher. (Holt.) Stories of the	9	10
""	American West; a companion volume to the Fox News series.		
""			
4	THE ROAD TO CHARACTER, by David Brooks. (Random House.) The Times	4	9
""	columnist extols personal virtues like kindness and honesty in a materialistic age.		
""			
5	DEAD WAKE, by Erik Larson. (Crown.) The last voyage of the Lusitania, the	6	14
""	passenger liner sunk by a German torpedo in 1915; by the author of “The Devil in		
""	the White City.”		
""			
6	AND THE GOOD NEWS IS . . ., by Dana Perino. (Twelve.) The Fox News	5	8
""	contributor and former press secretary under President George W. Bush reviews		
""	her life and career and discusses lessons she has learned.		
""			
7	¡ADIOS, AMERICA!, by Ann Coulter. (Regnery.) The political commentator	2	2
""	denounces immigrants and their liberal supporters.		
""			
8	IT'S A LONG STORY, by Willie Nelson with David Ritz. (Little, Brown.) The	7	6
""	country music star discusses his life’s journey, from selling encyclopedias to		
""	professional fame.		
""			
9	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	8	36
""	Yorker writer considers how doctors fail patients at the end of life and how they		
""	can do better.		
""			
10	ELON MUSK, by Ashlee Vance. (Ecco/HarperCollins.) Musk’s life from his difficult	10	4
""	South African childhood to his involvement in Internet start-ups like the rocket		
""	company SpaceX and the electric-car company Tesla.		
""			
11	THE QUARTET, by Joseph J. Ellis. (Knopf.) How Washington, Hamilton, Jay and	13	5
""	Madison created the Constitution; by the author of “Founding Brothers.”		
""			
12	GUMPTION, by Nick Offerman. (Dutton.) The actor takes a humorous look at what	14	3
""	makes great Americans great.		
""			
13	HAPPILY ALI AFTER, by Ali Wentworth. (Harper.) As she approaches 50, the	--	1
""	actress and comedian embarks on a (humorous) quest for self-improvement.		
""			
14	A LUCKY LIFE INTERRUPTED, by Tom Brokaw. (Random House.) The journalist	16	5
""	describes the year following his diagnosis with multiple myeloma.		
