This	March 25, 2012	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE THIEF, by Clive Cussler and Justin Scott. (Putnam, $27.95.) Isaac Bell tries	--	1
""	to save scientists from German spies.		
""			
2	LONE WOLF, by Jodi Picoult. (Emily Bestler/Atria, $28.) The children of a man	1	2
""	who studies wolves must make difficult decisions when he is seriously injured in		
""	an accident.		
""			
3	A RISING THUNDER, by David Weber. (Baen, $26.) Honor Harrington defends	--	1
""	the Star Empire of Manticore in a new and terrible war.		
""			
4	FAIR GAME, by Patricia Briggs. (Ace, $26.95.) Two werewolves, an Alpha and an	--	1
""	Omega, help the F.B.I. track a serial killer who is murdering preternatural beings.		
""			
5	KILL SHOT, by Vince Flynn. (Emily Bestler/Atria, $27.99.) A C.I.A. super-agent	3	5
""	hunting down perpetrators of the Pan Am Lockerbie bombing, finds himself caught		
""	in a dangerous trap.		
""			
6	PRIVATE GAMES, by James Patterson and Mark Sullivan. (Little, Brown, $27.99.)	5	4
""	Peter Knight pursues a murderer who is trying to destroy the London Olympics.		
""			
7	CHASING MIDNIGHT, by Randy Wayne White. (Putnam, $25.95.) Doc Ford	--	1
""	battles terrorists who have taken control of a private island in Florida.		
""			
8	CELEBRITY IN DEATH, by J. D. Robb. (Putnam, $27.95.) Lt. Eve Dallas	4	3
""	investigates when an actress drowns at the opening party for a movie based on		
""	one of her cases; by Nora Roberts, writing pseudonymously.		
""			
9	DEFENDING JACOB, by William Landay. (Delacorte, $26.) An assistant district	9	6
""	attorney’s life is shaken when his 14-year-old son is accused of murder.		
""			
10	VICTIMS, by Jonathan Kellerman. (Ballantine, $28.) The Los Angeles	2	2
""	psychologist-detective Alex Delaware and the detective Milo Sturgis track down a		
""	homicidal maniac.		
""			
11	THE WOLF GIFT, by Anne Rice. (Knopf, $25.95.) The making of a modern	6	4
""	werewolf.		
""			
12	11/22/63, by Stephen King. (Scribner, $35.) A teacher travels back to 1958 by way	10	18
""	of a time portal in a Maine diner.		
""			
13	A DANCE WITH DRAGONS, by George R. R. Martin. (Bantam, $35.) After a	13	32
""	"colossal battle, the Seven Kingdoms face new threats; Book 5 of ""A Song of Ice"		
""	"and Fire."""		
""			
14	THE EXPATS, by Chris Pavone. (Crown, $26.) A burned-out C.I.A. operative	--	1
""	encounters personal challenges and political espionage when she moves with her		
""	husband to Luxembourg.		
This	March 25, 2012	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	AMERICAN SNIPER, by Chris Kyle with Scott McEwen and Jim DeFelice.	1	10
""	(Morrow/HarperCollins, $26.99.) A member of the Navy SEALs discusses his		
""	battlefield experiences.		
""			
2	THE POWER OF HABIT, by Charles Duhigg. (Random House, $28.) A Times	4	2
""	reporter’s account of the science behind how we form, and break, habits.		
""			
3	STEVE JOBS, by Walter Isaacson. (Simon & Schuster, $35.) A biography of the	3	20
""	recently deceased entrepreneur.		
""			
4	KILLING LINCOLN, by Bill O'Reilly and Martin Dugard. (Holt, $28.) The heart-	2	24
""	stopping events surrounding the assassination of Abraham Lincoln.		
""			
5	QUIET, by Susan Cain. (Crown, $26.) Introverts — one-third of the population —	10	7
""	are undervalued in American society.		
""			
6	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner's	7	69
""	story of survival as a prisoner of the Japanese in World War II.		
""			
7	AMERITOPIA, by Mark R. Levin. (Threshold Editions, $26.99.) A talk-show host	8	8
""	warns that Americans must choose between utopianism and liberty.		
""			
8	BRINGING UP BÉBÉ, by Pamela Druckerman. (Penguin Press, $25.95.) An	9	5
""	American mother discovers the principles of French parenting.		
""			
9	THINKING, FAST AND SLOW, by Daniel Kahneman. (Farrar, Straus & Giroux,	11	20
""	$30.) The winner of the Nobel in economic science discusses how we make		
""	choices in business and personal life and when we can and cannot trust our		
""	intuitions.		
""			
10	REVELATIONS, by Elaine Pagels. (Viking, $27.95.) A history of the Book of	--	1
""	Revelation explores its original context and its meaning.		
""			
11	BEHIND THE BEAUTIFUL FOREVERS, by Katherine Boo. (Random House, $27.)	12	5
""	A journalist reports on families striving for better lives in a Mumbai slum.		
""			
12	FULL SERVICE, by Scotty Bowers with Lionel Friedberg. (Grove, $25.) A gossipy	--	1
""	account of the sex lives of the stars during Hollywood’s golden age.		
""			
13	BECOMING CHINA'S BITCH, by Peter D. Kiernan. (Turner Publishing, $27.95.)	5	2
""	Solutions to the challenges that threaten America.		
""			
14	UNORTHODOX, by Deborah Feldman. (Simon & Schuster, $23.) A woman	13	4
""	breaks free of the Satmar Hasidic community in Brooklyn in which she was raised.		
""			
15	HOUSE OF STONE, by Anthony Shadid. (Houghton Mifflin Harcourt, $26.) The	16	2
""	New York Times reporter who died in February explores his family’s history as he		
