This	May 23, 2010	Last	Weeks
Week	Fiction	Week	On List
""			
1	DEAD IN THE FAMILY, by Charlaine Harris. (Ace, $25.95.) Sookie Stackhouse is	--	1
""	exhausted in the aftermath of a Fae war.		
""			
2	THE 9TH JUDGMENT, by James Patterson and Maxine Paetro. (Little, Brown,	1	2
""	$27.99.) Detective Lindsay Boxer pursues a killer who’s preying on women and		
""	children.		
""			
3	INNOCENT, by Scott Turow. (Grand Central, $27.99.) When Rusty Sabich’s wife	--	1
""	is found dead, Tommy Molto accuses him of murder for the second time, as Turow		
""	revisits the characters from “Presumed Innocent.”		
""			
4	THE HELP, by Kathryn Stockett. (Amy Einhorn/Putnam, $24.95.) A young white	3	58
""	woman and two black maids in 1960s Mississippi.		
""			
5	DELIVER US FROM EVIL, by David Baldacci. (Grand Central, $27.99.) Two	4	3
""	agents are tracking the same man, a human trafficker who is now dealing in		
""	nuclear arms.		
""			
6	LOVER MINE, by J. R. Ward. (New American Library, $25.95.) Book 8 of the	2	2
""	Black Dagger Brotherhood series.		
""			
7	THE SHADOW OF YOUR SMILE, by Mary Higgins Clark. (Simon & Schuster,	6	4
""	$25.99.) An elderly woman must decide whether to reveal a family secret.		
""			
8	HANNAH’S LIST, by Debbie Macomber. (Mira, $24.95.) A doctor receives a letter	5	2
""	from his dead wife in which she asks him to marry one of three women she has		
""	chosen for him.		
""			
9	BLUE-EYED DEVIL, by Robert B. Parker. (Putnam, $25.95.) Virgil Cole and	--	1
""	Everett Hitch take on a politically ambitious but crooked new chief of police in		
""	Appaloosa; Parker died earlier this year.		
""			
10	TELL-ALL, by Chuck Palahniuk. (Doubleday, $24.95.) A much-married star is	--	1
""	seduced by a bounder who has written a memoir about her death in this sendup of		
""	celebrity culture.		
""			
11	THE DOUBLE COMFORT SAFARI CLUB, by Alexander McCall Smith.	7	3
""	(Pantheon, $24.95.) The 11th novel in the No. 1 Ladies’ Detective Agency series.		
""			
12	EVERY LAST ONE, by Anna Quindlen. (Random House, $26.) After a shocking	10	4
""	assault on her family, a woman must discover how to live the rest of her life.		
""			
13	THE IMPERFECTIONISTS, by Tom Rachman. (Dial, $25.) Goings-on among the	--	1
""	staff of an English-language newspaper in Rome.		
""			
14	ISLAND BENEATH THE SEA, by Isabel Allende. (Harper/HarperCollins, $26.99.)	16	2
""	The story of a mulatto slave in late-18th-century Haiti who flees with her master to		
This	May 23, 2010	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	SPOKEN FROM THE HEART, by Laura Bush. (Scribner, $30.) A memoir from the	--	1
""	former first lady.		
""			
2	THE BIG SHORT, by Michael Lewis. (Norton, $27.95.) The people who saw the	1	8
""	real estate crash coming and made billions from their foresight.		
""			
3	THIS TIME TOGETHER, by Carol Burnett. (Harmony, $25.) The comedian	2	5
""	describes her rise in show business and the people she’s met along the way.		
""			
4	CHELSEA CHELSEA BANG BANG, by Chelsea Handler. (Grand Central,	3	9
""	$25.99.) More humorous personal essays from the comedian.		
""			
5	MOM, edited by Dave Isay. (Penguin Press, $21.95.) A collection of interviews	--	1
""	from NPR’s StoryCorps.		
""			
6	"OPRAH, by Kitty Kelley. (Crown, $30.) The biography, from the author of ""Nancy"	4	4
""	"Reagan"" and ""His Way."""		
""			
7	THE LAST STAND, by Nathaniel Philbrick. (Viking, $30.) Custer, Sitting Bull and	--	1
""	the Battle of the Little Big Horn.		
""			
8	SH*T MY DAD SAYS, by Justin Halpern. (It Books/HarperCollins, $15.99.) A	--	1
""	coming-of-age memoir organized around the musings, purveyed on Twitter, of the		
""	author’s father.		
""			
9	MY FAIR LAZY, by Jen Lancaster. (NAL, $24.95.) The author of “Pretty in Plaid”	--	1
""	makes a humorous attempt to broaden her cultural horizons.		
""			
10	LIFT, by Kelly Corrigan. (Voice/Hyperion, $16.99.) Stories about parenting, written	10	3
""	as a letter to the author’s daughters.		
""			
11	THE PACIFIC, by Hugh Ambrose. (NAL Caliber, $26.95.) Stories of Marines and a	9	10
""	Navy pilot during World War II; companion volume for an HBO mini-series.		
""			
12	THE BEDWETTER, by Sarah Silverman. (Harper/HarperCollins, $25.99.) A	7	3
""	humorous, yet sometimes serious, memoir from the comedian.		
""			
13	THE IMMORTAL LIFE OF HENRIETTA LACKS, by Rebecca Skloot. (Crown,	11	14
""	$26.) The story of the woman whose cancer cells were cultured without her		
""	permission in 1951.		
""			
14	OUTLIERS, by Malcolm Gladwell. (Little, Brown, $27.99.) Why some people	8	76
""	succeed, from the author of “Blink.”		
""			
15	THE OTHER WES MOORE, by Wes Moore. (Spiegel & Grau, $25.) A tale of two	5	2
""	Wes Moores living in Baltimore: one, the author, a Rhodes scholar, combat		
""	veteran and former White House fellow; the other, a man serving a life sentence in		
