This	August 24, 2003	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE DA VINCI CODE, by Dan Brown. (Doubleday, $24.95.) The murder of a	1	21
""	curator at the Louvre leads to a trail of clues found in the work of Leonardo and to		
""	the discovery of a centuries-old secret society.		
""			
2	TO THE NINES, by Janet Evanovich. (St. Martin's, $25.95.) The New Jersey	3	4
""	bounty hunter Stephanie Plum searches for a computer nerd (and illegal		
""	immigrant) who has skipped out on his bail to Las Vegas.		
""			
3	BLINDSIDE, by Catherine Coulter. (Putnam, $25.95.) Dillon Savich and Lacey	2	2
""	Sherlock — F.B.I. agents as well as husband and wife — investigate the		
""	kidnapping of a 6-year-old boy.		
""			
4	STREET DREAMS, by Faye Kellerman. (Warner, $25.95.) A Los Angeles cop	--	1
""	teams up with her father, a police detective, in the pursuit of a vicious criminal.		
""			
5	A PLACE OF HIDING, by Elizabeth George. (Bantam, $26.95.) A forensic scientist	6	2
""	and his wife look for a murderer on the British island of Guernsey.		
""			
6	NAKED EMPIRE, by Terry Goodkind. (Tor/Tom Doherty, $29.95.) The eighth	4	3
""	"volume of the ""Sword of Truth"" fantasy series."		
""			
7	THE CURIOUS INCIDENT OF THE DOG IN THE NIGHT-TIME, by Mark	11	2
""	Haddon.(Doubleday, $22.95.) A 15-year-old autistic savant sets out to solve the		
""	mystery of a neighbor's dead poodle.		
""			
8	JOHNNY ANGEL, by Danielle Steel. (Delacorte, $19.95.) A woman sees visions of	5	6
""	her son, a teenager who recently died in a car crash on prom night.		
""			
9	THE LOVELY BONES, by Alice Sebold. (Little, Brown, $21.95.) A 14-year-old girl	8	59
""	looks down from heaven as she describes what happens in the aftermath of her		
""	kidnapping and murder.		
""			
10	THE DEVIL WEARS PRADA, by Lauren Weisberger. (Doubleday, $21.95.) A	9	17
""	young woman acquires a job at a fashion magazine, along with the boss from hell.		
""			
11	TRADING UP, by Candace Bushnell. (Hyperion, $24.95.) A lingerie model and	7	6
""	social climber becomes entangled in movie business double-dealing.		
""			
12	THE LAKE HOUSE, by James Patterson. (Little, Brown, $27.95.) Six children	10	9
""	living in the Rocky Mountains are forced to flee a dangerous, evil force.		
""			
13	LUCIA, LUCIA, by Adriana Trigiani. (Random House, $24.95.) In New York City in	15	4
""	1950, the ambitious daughter of an Italian grocer from Greenwich Village		
""	discovers the good and the bad about life uptown.		
""			
14	EXIT WOUNDS, by J. A. Jance. (Morrow, $24.95.) In the midst of her re-election	12	3
""	campaign, Sheriff Joanna Brady must try to stop a serial killer who is on the loose		
This	August 24, 2003	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	KATE REMEMBERED, by A. Scott Berg. (Putnam, $25.95.) Memories from a	1	5
""	writer who was a close friend of Katharine Hepburn's in the last 20 years of her		
""	life.		
""			
2	BENJAMIN FRANKLIN, by Walter Isaacson. (Simon & Schuster, $30.) A	2	6
""	biography of the scientist, inventor, writer and Revolutionary statesman.		
""			
3	UNDER THE BANNER OF HEAVEN, by Jon Krakauer. (Doubleday, $26.) The	4	4
""	"author of ""Into Thin Air"" explores the implications of the murder of a woman by two"		
""	religious fundamentalists (her brothers-in-law).		
""			
4	TREASON, by Ann Coulter. (Crown Forum, $26.95.) The lawyer and pundit	5	7
""	"dissects ""liberal treachery from the cold war to the war on terrorism."""		
""			
5	LIVING HISTORY, by Hillary Rodham Clinton. (Simon & Schuster, $28.) A memoir	3	9
""	by the junior senator from New York and former first lady.		
""			
6	SEABISCUIT: Special Illustrated Collector's Edition, by Laura Hillenbrand.	6	3
""	(Random House, $29.95.) A new edition of the book, with nearly 150 photographs.		
""			
7	THE KENNEDY CURSE, by Edward Klein. (St. Martin's, $24.95.) A retelling of the	7	5
""	"tragedies that have befallen ""America's first family."""		
""			
8	MONEYBALL, by Michael Lewis. (Norton, $24.95.) How Billy Beane, the general	8	13
""	manager of the Oakland Athletics, produces a successful team despite having one		
""	of the smallest payrolls in baseball.		
""			
9	WENDY'S GOT THE HEAT, by Wendy Williams with Karen Hunter. (Atria, $24.)	--	1
""	From a childhood in Ocean Township, N.J., to a career at WBLS-FM and VH1: the		
""	autobiography of the radio and television personality.		
""			
10	A SHORT HISTORY OF NEARLY EVERYTHING, by Bill Bryson. (Broadway,	9	14
""	$27.50.) From the Big Bang to the 21st century: a guided tour of the sciences and		
""	what they tell us about the physical world.		
""			
11	WHO'S YOUR CADDY? by Rick Reilly. (Doubleday, $24.95.) A sportswriter	--	11
""	recounts his experiences caddying for (among others) Jack Nicklaus, David Duval,		
""	Bob Newhart and Deepak Chopra.		
""			
12	GOOD TO GREAT, by Jim Collins. (HarperBusiness, $27.50.) Why some	--	28
""	companies thrive and others do not.		
""			
13	THE PRINCE OF PROVIDENCE, by Miek Stanton. (Random House, $25.95.) The	--	1
""	story of Buddy Cianci, the former mayor of Providence, R.I., who was found guilty		
""	of a racketeering conspiracy charge last year.		
""			
14	CHARLIE WILSON'S WAR, by George Crile. (Atlantic Monthly, $26.) A chronicle,	11	9
