This	February 23, 2003	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE KING OF TORTS, by John Grisham. (Doubleday, $27.95.) A public defender	--	1
""	in Washington happens upon a frightening conspiracy involving one of the largest		
""	pharmaceutical companies in the world.		
""			
2	THE LOVELY BONES, by Alice Sebold. (Little, Brown, $21.95.) A 14-year-old girl	1	33
""	looks down from heaven as she describes what happens in the aftermath of her		
""	kidnapping and murder.		
""			
3	THE CAT WHO BROUGHT DOWN THE HOUSE, by Lilian Jackson Braun.	--	1
""	(Putnam, $23.95.) Jim Qwilleran and his cat Koko look into a suspicious death.		
""			
4	PATTERN RECOGNITION, by William Gibson. (Putnam, $25.95.) A brilliant	--	1
""	freelance marketing consultant searches for the next big fad -- and for clues to the		
""	disappearance of her father, a retired C.I.A. man.		
""			
5	CROSSROADS OF TWILIGHT, by Robert Jordan. (Tor/Tom Doherty, $29.95.)	2	5
""	"The 10th volume in the fantasy series ""The Wheel of Time."""		
""			
6	FINAL JUSTICE, by W. E. B. Griffin. (Putnam, $26.95.) A detective in the	3	2
""	Philadelphia Police Department is caught up in three murder investigations.		
""			
7	LIBERTY, by Stephen Coonts. (St. Martin's, $25.95.) Jake Grafton hunts down a	--	1
""	radical Islamic terrorist group that has acquired nuclear warheads.		
""			
8	THE BEST REVENGE, by Stephen White. (Delacorte, $24.95.) A psychologist's	--	1
""	life is turned upside down by an F.B.I. agent and a dangerous man.		
""			
9	THE ARRAIGNMENT, by Steve Martini. (Putnam, $25.95.) A defense attorney	5	5
""	represents a man who he thinks may know something about a lawyer's murder.		
""			
10	THE PERFECT LOVER, by Stephanie Laurens. (Morrow, $22.95.) In 19th-century	--	1
""	England, a wealthy roue and a rich woman decide it's time to get married.		
""			
11	PREY, by Michael Crichton. (HarperCollins, $26.95.) In the Nevada desert, a team	8	11
""	of scientists tries to undo an experiment that has gone disastrously wrong.		
""			
12	SONS OF FORTUNE, by Jeffrey Archer. (St. Martin's, $27.95.) Twin brothers who	6	5
""	were separated at birth both decide to run for governor in Connecticut -- but		
""	without knowing they are related.		
""			
13	FOUR BLIND MICE, by James Patterson. (Little, Brown, $27.95.) Detective Alex	7	12
""	Cross tries to prove that a man has been framed for murder.		
""			
14	THE FIRST LAW, by John Lescroart. (Dutton, $25.95.) A San Francisco police	4	2
""	lieutenant investigates the killing of his father's best friend.		
""			
15	FOREVER, by Pete Hamill. (Little, Brown, $25.95.) The history of New York City	13	6
This	February 23, 2003	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE SAVAGE NATION, by Michael Savage. (WND/ Thomas Nelson, $24.99.) A	2	5
""	"radio talk show host proposes to save America from ""the liberal assault on our"		
""	"borders, language and culture."""		
""			
2	WHAT SHOULD I DO WITH MY LIFE? by Po Bronson. (Random House, $24.95.)	1	5
""	The stories of 55 people who found their calling after years of struggle.		
""			
3	THIS JUST IN, by Bob Schieffer. (Putnam, $26.95.) A memoir by the chief	3	2
""	"Washington correspondent for CBS News and moderator of ""Face the Nation."""		
""			
4	LEADERSHIP, by Rudolph W. Giuliani with Ken Kurson. (Miramax/Hyperion,	5	19
""	$25.95.) The former mayor of New York discusses what it takes to be a leader and		
""	addresses subjects like the crime rate and 9/11.		
""			
5	BUSH AT WAR, by Bob Woodward. (Simon & Schuster, $28.) Behind the scenes	7	12
""	at the White House as the president and his advisers responded to the 9/11		
""	attacks.		
""			
6	THE RIGHT MAN, by David Frum. (Random House, $25.95.) A former	4	5
""	speechwriter for President Bush relives the first year of his administration.		
""			
7	PORTRAIT OF A KILLER, by Patricia Cornwell. (Putnam, $27.95.) The crime	6	13
""	novelist presents evidence that the artist Walter Sickert was Jack the Ripper.		
""			
8	STUPID WHITE MEN, by Michael Moore. (ReganBooks/HarperCollins, $24.95.)	8	44
""	"The man behind ""Roger & Me"" takes aim at Republicans and Democrats,"		
""	"corporate America and our ""nation of idiots."""		
""			
9	GOOD TO GREAT, by Jim Collins. (HarperBusiness, $27.50.) Why some	--	18
""	companies thrive and others do not.		
""			
10	KINGDOM OF FEAR, by Hunter S. Thompson. (Simon & Schuster, $25.) A	--	2
""	memoir by the gonzo journalist, along with commentary on 9/11 and its aftermath.		
""			
11	PIGS AT THE TROUGH, by Arianna Huffington. (Crown, $22.) The columnist	13	2
""	"describes ""how corporate greed and political corruption are undermining America."""		
""			
12	ABRAHAM, by Bruce Feiler. (Morrow, $23.95.) Judaism, Christianity and Islam as	15	18
""	seen through the story of one man.		
""			
13	WHO SAYS ELEPHANTS CAN'T DANCE? by Louis V. Gerstner Jr.	--	6
""	(HarperBusiness, $27.95.) A former C.E.O. of I.B.M. recounts the company's		
""	renaissance.		
""			
14	1421, by Gavin Menzies. (Morrow, $27.95.) A retired British submarine	9	5
""	commander argues that Chinese fleets reached the Americas before Columbus		
""	did.		
