This	June 22, 2003	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE DA VINCI CODE, by Dan Brown. (Doubleday, $24.95.) The murder of a	1	12
""	curator at the Louvre leads to a trail of clues found in the work of Leonardo and to		
""	the discovery of a centuries-old secret society.		
""			
2	NAKED PREY, by John Sandford. (Putnam, $26.95.) In his new job as a	2	4
""	troubleshooter for the governor of Minnesota, Lucas Davenport investigates the		
""	apparent lynching of a black man and a white woman.		
""			
3	THE GUARDIAN, by Nicholas Sparks. (Warner, $24.95.) While trying to choose	3	9
""	between two suitors, a young widow realizes that her life is in danger.		
""			
4	THE FACE, by Dean Koontz. (Bantam, $26.95.) A police officer turned security	4	2
""	chief must protect a handsome Hollywood star whose life has been threatened by		
""	a mysterious killer.		
""			
5	THE DEVIL WEARS PRADA, by Lauren Weisberger. (Doubleday, $21.95.) A	7	8
""	young woman acquires a job at a fashion magazine, along with the boss from hell.		
""			
6	THE LOVELY BONES, by Alice Sebold. (Little, Brown, $21.95.) A 14-year-old girl	10	50
""	looks down from heaven as she describes what happens in the aftermath of her		
""	kidnapping and murder.		
""			
7	ARMAGEDDON, by Tim LaHaye and Jerry B. Jenkins. (Tyndale, $24.99.) The	6	9
""	"11th volume of the ""Left Behind"" series, in which the forces of good battle the"		
""	forces of evil after the rapture of the saved.		
""			
8	THE SINISTER PIG, by Tony Hillerman. (HarperCollins, $25.95.) Sgt. Jim Chee of	8	5
""	the Navajo Tribal Police and his retired mentor, Joe Leaphorn, probe the murder		
""	of an undercover agent.		
""			
9	THE SECOND TIME AROUND, by Mary Higgins Clark. (Simon & Schuster, $26.)	9	8
""	After the head of a medical research company goes missing, a magazine		
""	columnist finds herself the target of a sinister cabal.		
""			
10	DEAD RINGER, by Lisa Scottoline. (HarperCollins, $25.95.) A Philadelphia lawyer	5	2
""	searches for a woman who is impersonating her and for a murderer.		
""			
11	THE KING OF TORTS, by John Grisham. (Doubleday, $27.95.) A public defender	11	18
""	in Washington happens upon a frightening conspiracy.		
""			
12	THE TRAVELER'S GIFT, by Andy Andrews. (Thomas Nelson, $19.99.) In an	--	3
""	"inspirational tale about the ""decisions that determine personal success,"" a down-"		
""	on-his-luck middle-aged man travels back in time.		
""			
13	EXECUTIVE POWER, by Vince Flynn. (Atria, $25.) The C.I.A. agent Mitch Rapp	13	5
""	goes after a dangerous but unknown assassin who is bent on starting a war.		
This	June 22, 2003	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	AN UNFINISHED LIFE, by Robert Dallek. (Little, Brown, $30.) A biography of John	1	4
""	F. Kennedy by a professor of history at Boston University.		
""			
2	MONEYBALL, by Michael Lewis. (Norton, $24.95.) How Billy Beane, the general	4	4
""	manager of the Oakland Athletics, produces a successful team despite having one		
""	of the smallest payrolls in baseball.		
""			
3	THE TEAMMATES, by David Halberstam. (Hyperion, $22.95.) The story of a	2	5
""	friendship among four men who played for the Red Sox in the 1940's: Ted		
""	Williams, Dom DiMaggio, Johnny Pesky and Bobby Doerr.		
""			
4	A SHORT HISTORY OF NEARLY EVERYTHING, by Bill Bryson. (Broadway,	5	5
""	$27.50.) From the Big Bang to the 21st century: a guided tour of the sciences and		
""	what they tell us about the physical world.		
""			
5	WHO'S YOUR CADDY? by Rick Reilly. (Doubleday, $24.95.) A sportswriter	7	4
""	recounts his experiences caddying for (among others) Jack Nicklaus, David Duval,		
""	Bob Newhart and Deepak Chopra.		
""			
6	LEAP OF FAITH, by Queen Noor. (Miramax, $25.95.) An autobiography by the	6	12
""	widow of King Hussein of Jordan.		
""			
7	DERELICTION OF DUTY, by Robert (Buzz) Patterson. (Regnery, $27.95.) A	8	12
""	retired Air Force colonel who served in the White House contends that Bill Clinton		
""	"""compromised America's national security."""		
""			
8	BEYOND BELIEF, by Elaine Pagels. (Random House, $24.95.) The author of	15	3
""	"""The Gnostic Gospels"" examines early Christianity through the Gospel of Thomas."		
""			
9	"OPEN, by John Feinstein. (Little, Brown, $25.95.) The author of ""A Good Walk"	11	4
""	"Spoiled"" reports on the 2002 United States Open, held at the Bethpage Black golf"		
""	course on Long Island.		
""			
10	CHARLIE WILSON'S WAR, by George Crile. (Atlantic Monthly, $26.) A chronicle,	9	2
""	"by a veteran producer for ""60 Minutes,"" of a congressman's efforts in the 1980's to"		
""	steer billions to the anti-Soviet side in Afghanistan.		
""			
11	A PATRIOT'S HANDBOOK, selected by Caroline Kennedy. (Hyperion, $27.95.)	3	5
""	Essays, letters, speeches, poems and song lyrics that celebrate America.		
""			
12	SHATTERED LOVE, by Richard Chamberlain. (ReganBooks/HarperCollins,	--	1
""	"$25.95.) A memoir by the star of ""Dr. Kildare"" and ""The Thorn Birds."""		
""			
13	WHAT SHOULD I DO WITH MY LIFE? by Po Bronson. (Random House, $24.95.)	10	22
""	The stories of 55 people who found their calling after years of struggle.		
""			
14	THE CLINTON WARS, by Sidney Blumenthal. (Farrar, Straus & Giroux, $30.) A	14	3
