This	December 13, 2009	Last	Weeks
Week	Fiction	Week	On List
""			
1	I, ALEX CROSS, by James Patterson. (Little, Brown, $27.99.) Tracking the	1	2
""	murderer of a relative, Alex Cross discovers a wild Washington scene with		
""	explosive secrets.		
""			
2	PIRATE LATITUDES, by Michael Crichton. (Harper/HarperCollins, $27.99.) In the	--	1
""	17th-century Caribbean, a British pirate attacks a Spanish galleon; this manuscript		
""	was found in Crichton’s files after his death in 2008.		
""			
3	THE LOST SYMBOL, by Dan Brown. (Doubleday, $29.95.) Robert Langdon	3	11
""	among the Masons.		
""			
4	UNDER THE DOME, by Stephen King. (Scribner, $35.) When a Maine town is	2	3
""	trapped by an invisible force field, a sanctimonious and hypocritical politician takes		
""	over.		
""			
5	BREATHLESS, by Dean Koontz. (Bantam, $28.) Mysterious animals in the	--	1
""	Colorado Rockies set off intrigue and suspense.		
""			
6	FORD COUNTY, by John Grisham. (Doubleday, $24.) Stories set in rural	4	4
""	Mississippi.		
""			
7	FIRST LORD’S FURY, by Jim Butcher. (Ace, $25.95.) With their survival at stake,	--	1
""	Alerans prepare for a final battle in the sixth book of the Alera fantasy cycle.		
""			
8	THE HELP, by Kathryn Stockett. (Amy Einhorn/Putnam, $24.95.) A young white	5	35
""	woman and two black maids in 1960s Mississippi.		
""			
9	THE WRECKER, by Clive Cussler and Justin Scott. (Putnam, $27.95.) In 1907, a	6	2
""	detective tracks a mysterious saboteur all over the West.		
""			
10	THE LAST SONG, by Nicholas Sparks. (Grand Central, $24.99.) A 17-year-old girl	12	12
""	spends the summer with her divorced father in North Carolina and finds many		
""	kinds of love.		
""			
11	PURSUIT OF HONOR, by Vince Flynn. (Atria, $27.99.) The counterterrorism	10	7
""	operative Mitch Rapp must teach politicians about national security following a		
""	new Qaeda attack.		
""			
12	THE GATHERING STORM, by Robert Jordan and Brandon Sanderson. (Tor/Tom	9	5
""	Doherty, $29.99.) Book 12 of the Wheel of Time fantasy series.		
""			
13	THE LACUNA, by Barbara Kingsolver. (Harper/HarperCollins, $26.99.) A young	8	4
""	American growing up in Mexico becomes friends with becomes friends with Diego		
""	Rivera, Frida Kahlo and Leon Trotsky; later, in the United States, he is menaced		
""	by McCarthyism.		
""			
14	TRUE BLUE, by David Baldacci. (Grand Central, $27.99.) An ex-cop in	7	5
This	December 13, 2009	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	GOING ROGUE, by Sarah Palin. (Harper/HarperCollins, $28.99.) A memoir by the	1	2
""	former Alaska governor and vice-presidential candidate.		
""			
2	HAVE A LITTLE FAITH, by Mitch Albom. (Hyperion, $23.99.) A suburban rabbi	3	9
""	and a Detroit pastor teach lessons about the comfort of belief.		
""			
3	OPEN, by Andre Agassi. (Knopf, $28.95.) The tennis champion’s autobiography.	2	3
""			
4	SUPERFREAKONOMICS, by Steven D. Levitt and Stephen J. Dubner.	7	6
""	(Morrow/HarperCollins, $29.99.) A scholar and a journalist apply economic		
""	thinking to everything: the sequel.		
""			
5	ARGUING WITH IDIOTS, written and edited by Glenn Beck, Kevin Balfe and	4	10
""	others. (Mercury Radio Arts/Threshold Editions, $29.99.) The case against big		
""	government.		
""			
6	TRUE COMPASS, by Edward M. Kennedy. (Twelve, $35.) The late senator’s	11	11
""	autobiography.		
""			
7	A SIMPLE CHRISTMAS, by Mike Huckabee. (Sentinel, $19.95.) Christmas	5	3
""	memories from the former Arkansas governor and Republican presidential		
""	aspirant.		
""			
8	WHAT THE DOG SAW, by Malcolm Gladwell. (Little, Brown, $27.99.) A decade of	6	6
""	New Yorker essays.		
""			
9	THE IMPERIAL CRUISE, by James Bradley. (Little, Brown, $29.99.) In 1905,	--	1
""	during a diplomatic journey organized by Theodore Roosevelt, William Howard		
""	Taft negotiated secret agreements with several Asian countries.		
""			
10	OUTLIERS, by Malcolm Gladwell. (Little, Brown, $27.99.) Why some people	9	54
""	succeed, from the author of “Blink.”		
""			
11	LAST WORDS, by George Carlin with Tony Hendra. (Free Press, $26.99.) The life	8	3
""	of the comedian, who died in 2008.		
""			
12	TOO BIG TO FAIL, by Andrew Ross Sorkin. (Viking, $32.95.) The 2008 financial	10	6
""	implosion on Wall Street and in Washington, by a New York Times reporter and		
""	columnist.		
""			
13	"WHEN THE GAME WAS OURS, by Larry Bird and Earvin ""Magic"" Johnson with"	13	4
""	Jackie MacMullan. (Houghton Mifflin Harcourt, $26.) Two great basketball players		
""	discuss their careers, their long rivalry and their eventual friendship.		
""			
14	THE BOOK OF BASKETBALL, by Bill Simmons. (Ballantine/ESPN, $30.)	12	5
""	ESPN.com’s Sports Guy crunches big questions in N.B.A. history.		
