This	February 22, 2004	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE LAST JUROR, by John Grisham. (Doubleday, $27.95.) In Clanton, Miss.,	--	1
""	someone is killing off the jurors who sent a member of a powerful crime family to		
""	prison for the rape and murder of a young mother.		
""			
2	THE DA VINCI CODE, by Dan Brown. (Doubleday, $24.95.) The murder of a	1	47
""	curator at the Louvre leads to a trail of clues found in the work of Leonardo and to		
""	the discovery of a centuries-old secret society.		
""			
3	THE FIVE PEOPLE YOU MEET IN HEAVEN, by Mitch Albom. (Hyperion, $19.95.)	2	20
""	An old man who died while trying to rescue a little girl from danger discovers that		
""	all will be explained to him in the afterlife.		
""			
4	SEDUCED BY MOONLIGHT, by Laurell K. Hamilton. (Ballantine, $23.95.)	--	1
""	Meredith Gentry, P.I., deals with a treacherous world of gods and shape-shifters.		
""			
5	DIVIDED IN DEATH, by J. D. Robb. (Putnam, $21.95.) In 2059, Lt. Eve Dallas	3	2
""	investigates a double homicide involving a former member of the Secret Service;		
""	by Nora Roberts, writing pseudonymously.		
""			
6	THE ZERO GAME, by Brad Meltzer. (Warner, $25.95.) A seemingly harmless	5	3
""	game played by Congressional staff members leads to murderous intrigue.		
""			
7	THE AMATEUR MARRIAGE, by Anne Tyler. (Knopf, $24.95.) Sixty years of the	6	5
""	American experience, as seen through the lives of one mismatched couple.		
""			
8	ABSOLUTE FRIENDS, by John le Carre. (Little, Brown, $26.95.) An Englishman	7	4
""	whose career in espionage ended with the fall of the Berlin Wall is reunited in		
""	southern Germany with a onetime fellow spy.		
""			
9	SURVIVOR'S QUEST, by Timothy Zahn. (Lucas/Del Rey/Ballantine, $25.95.) In a	--	1
""	new ''Star Wars'' novel, Luke and Mara Jade Skywalker combat a sly enemy.		
""			
10	NEW SPRING: The Novel, by Robert Jordan. (Tor/Tom Doherty, $22.95.) A	9	5
""	prequel to the ''Wheel of Time'' fantasy series.		
""			
11	ANGELS & DEMONS, by Dan Brown. (Atria, $17.95.) A Harvard scholar tries to	11	6
""	save the Vatican from the machinations of an underground society.		
""			
12	THE CAT WHO TALKED TURKEY, by Lilian Jackson Braun. (Putnam, $23.95.)	4	2
""	Jim Qwilleran, with the help of his cats, looks into a mysterious death.		
""			
13	THE SECOND CHAIR, by John Lescroart. (Dutton, $25.95.) A managing partner	10	2
""	at a top-notch San Francisco law firm assists an associate in her defense of a 17-		
""	year-old boy who has been charged with murder.		
""			
14	RETREAT, HELl! by W. E. B. Griffin. (Putnam, $26.95.) The 10th novel in the	8	5
""	series ''The Corps'' concerns the struggle of marines in the Korean War.		
This	February 22, 2004	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE PRICE OF LOYALTY, by Ron Suskind. (Simon & Schuster, $26.) A view	1	4
""	inside the Bush administration from the perspective of Paul O'Neill, the president's		
""	first Treasury secretary.		
""			
2	AMERICAN DYNASTY, by Kevin Phillips. (Viking, $25.95.) The political	2	5
""	"commentator details a ""pattern of deception"" in four generations of the Bush"		
""	family.		
""			
3	"GIVE ME A BREAK, by John Stossel. (HarperCollins, $24.95.) The ""20/20"" co-"	3	3
""	"anchor recalls his battles with hucksters, scam artists and ""the liberal media."""		
""			
4	BLINDSIDED, by Richard M. Cohen. (HarperCollins, $23.95.) A memoir of living	--	1
""	with illness, by a former senior producer for CBS News and CNN who has had to		
""	fight both multiple sclerosis and colon cancer.		
""			
5	LIES (AND THE LYING LIARS WHO TELL THEM), by Al Franken. (Dutton,	7	25
""	$24.95.) A satirical critique of the rhetoric of right-wing pundits and politicians.		
""			
6	DUDE, WHERE'S MY COUNTRY? by Michael Moore. (Warner, $24.95.) The	5	18
""	author of ''Stupid White Men'' (and director of ''Bowling for Columbine'') calls for		
""	''regime change'' in Washington.		
""			
7	THE PRIVILEGE OF YOUTH, by Dave Pelzer. (Dutton, $21.95.) The author of ''A	8	5
""	Child Called 'It' '' and ''The Lost Boy'' remembers his teenage years.		
""			
8	WHO'S LOOKING OUT FOR YOU? by Bill O'Reilly. (Broadway, $24.95.) The host	4	20
""	of ''The O'Reilly Factor'' attacks those individuals and institutions that he believes		
""	have let down the American people.		
""			
9	PERFECTLY LEGAL, by David Cay Johnston. (Portfolio, $25.95.) An analysis of	--	3
""	inequities in the American tax system, by a reporter for The New York Times.		
""			
10	THE ENEMY WITHIN, by Michael Savage. (WND Books, $27.99.) The syndicated	12	6
""	radio talk show host sets out to rebuff ''the liberal assault on our schools, faith and		
""	military.''		
""			
11	MY PRISON WITHOUT BARS, by Pete Rose with Rick Hill. (Rodale, $24.95.) A	6	5
""	memoir by the former player who was banned from baseball for betting on games		
""	while he was the manager of the Cincinnati Reds.		
""			
12	FLYBOYS, by James Bradley. (Little, Brown, $25.95.) An account of eight	9	19
""	American airmen who were shot down and captured by the Japanese in World		
""	War II; by the author of ''Flags of Our Fathers.''		
""			
13	THE ANATOMY OF HOPE, by Jerome Groopman. (Random House, $24.95.) A	16	2
""	professor of medicine and staff writer at The New Yorker explores the role that		
""	hope can play for people suffering from illnesses.		
