This	June 28, 2009	Last	Weeks
Week	Fiction	Week	On List
""			
1	RELENTLESS, by Dean Koontz. (Bantam, $27.) A writer is pursued by a	--	1
""	sociopathic critic.		
""			
2	THE PHYSICK BOOK OF DELIVERANCE DANE, by Katherine Howe. (Voice,	--	1
""	$25.99.) A graduate student is caught up in her research on a healer accused of		
""	witchcraft in Salem.		
""			
3	THE BOURNE DECEPTION, by Eric Van Lustbader. (Grand Central, $27.99.)	--	1
""	Robert Ludlum’s character Jason Bourne helps to avert a possible world war.		
""			
4	THE SCARECROW, by Michael Connelly. (Little, Brown, $27.99.) A Los Angeles	3	3
""	Times reporter tracks a devious killer.		
""			
5	MEDUSA, by Clive Cussler and Paul Kemprecos. (Putnam, $27.95.) In the eighth	2	2
""	NUMA Files novel, Kurt Austin and his team confront a Chinese crime syndicate		
""	and a deadly virus.		
""			
6	SKIN TRADE, by Laurell K. Hamilton. (Berkley, $26.95.) Investigating some	1	2
""	killings in Las Vegas, the vampire hunter Anita Blake must contend with the power		
""	of the weretigers.		
""			
7	SHANGHAI GIRLS, by Lisa See. (Random House, $25.) Two Chinese sisters in	4	3
""	the 1930s are sold as wives to men from California, and leave their war-torn		
""	country to join them.		
""			
8	ROADSIDE CROSSES, by Jeffery Deaver. (Simon & Schuster, $26.95.) A	--	1
""	California kinesics expert pursues a killer who stalks victims using information		
""	they’ve posted online.		
""			
9	GONE TOMORROW, by Lee Child. (Delacorte, $27.) Jack Reacher discovers a	6	4
""	conspiracy dating back to the Soviet war in Afghanistan.		
""			
10	MATTERS OF THE HEART, by Danielle Steel. (Delacorte, $27.) A New York	5	2
""	photographer falls in love with a sociopathic novelist who lures her to his isolated		
""	Irish estate.		
""			
11	THE 8TH CONFESSION, by James Patterson and Maxine Paetro. (Little, Brown,	8	7
""	$27.99.) Detective Lindsay Boxer and the Women’s Murder Club investigate a pair		
""	of killings.		
""			
12	DEAD AND GONE, by Charlaine Harris. (Ace, $25.95.) Sookie Stackhouse	7	6
""	searches for the killer of a werepanther.		
""			
13	THE HOST, by Stephenie Meyer. (Little, Brown, $25.99.) Aliens have taken	11	57
""	control of the minds and bodies of most humans, but one woman won’t surrender.		
""			
14	WICKED PREY, by John Sandford. (Putnam, $27.95.) The Minneapolis detective	10	5
This	June 28, 2009	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	LIBERTY AND TYRANNY, by Mark R. Levin. (Threshold Editions, $25.) A	1	12
""	conservative manifesto from a talk-show host and president of Landmark Legal		
""	Foundation.		
""			
2	HORSE SOLDIERS, by Doug Stanton. (Scribner, $28.) A small group of Special	3	5
""	Forces soldiers fought the Taliban on horseback shortly after 9/11.		
""			
3	OUTLIERS, by Malcolm Gladwell. (Little, Brown, $27.99.) Why some people	2	30
""	succeed — it has to do with luck and opportunity — from the author of “Blink.”		
""			
4	RENEGADE, by Richard Wolffe. (Crown, $26.) The rise of Barack Obama, based	4	2
""	on the author’s coverage of the campaign and on a dozen interviews.		
""			
5	PRAIRIE TALE, by Melissa Gilbert. (Simon Spotlight Entertainment, $26.)	--	1
""	"Overcoming substance abuse and bad relationships, by the star of ""Little House"		
""	"on the Prairie."""		
""			
6	A BOLD FRESH PIECE OF HUMANITY, by Bill O’Reilly. (Broadway, $26.) The	5	35
""	Fox News commentator on his upbringing and career.		
""			
7	THE LAST BEST HOPE, by Joe Scarborough. (Crown Forum, $26.) Advice for the	--	1
""	Republicans and for America, from the host of MSNBC’s “Morning Joe,” a former		
""	congressman.		
""			
8	HOME GAME, by Michael Lewis. (Norton, $23.95.) A reluctant father cottons to	9	2
""	his offspring.		
""			
9	ALWAYS LOOKING UP, by Michael J. Fox. (Hyperion, $25.99.) Fox’s last 10	7	11
""	years; his struggles with Parkinson’s disease and his work as an activist through		
""	his foundation.		
""			
10	THE GIRLS FROM AMES, by Jeffrey Zaslow. (Gotham, $26.) An enduring	6	8
""	friendship among a group of Midwestern women.		
""			
11	SOUL SURVIVOR, by Andrea Leininger and Bruce Leininger with Ken Gross.	--	1
""	(Grand Central, $24.99.) The authors discover that their young son is reliving the		
""	life of a deceased World War II fighter pilot.		
""			
12	HOW THE MIGHTY FALL, by Jim Collins. (Jim Collins/HarperCollins, $23.99.)	12	4
""	Companies fail in stages, and their decline can be detected and reversed.		
""			
13	RESILIENCE, by Elizabeth Edwards. (Broadway, $22.95.) Dealing with life’s	8	6
""	challenges, including cancer and her husband’s infidelity.		
""			
14	MY REMARKABLE JOURNEY, by Larry King with Cal Fussman. (Weinstein,	10	4
""	$27.95.) From Depression-era Brooklyn to “Larry King Live.”		
