This	December 3, 2006	Last	Weeks
Week	Fiction	Week	On List
""			
1	CROSS, by James Patterson. (Little, Brown, $27.99.) Alex Cross, retired from the	--	1
""	F.B.I., has a chance to track a rapist who may have murdered his wife.		
""			
2	FOR ONE MORE DAY, by Mitch Albom. (Hyperion, $21.95.) A troubled man gets a	4	8
""	last chance to reconnect and restore his relationship with his dead mother.		
""			
3	DEAR JOHN, by Nicholas Sparks. (Warner, $24.99.) An unlikely romance between	1	3
""	a soldier and an idealistic young woman is tested in the aftermath of 9/11.		
""			
4	NATURE GIRL, by Carl Hiaasen. (Knopf, $25.95.) A single mother takes revenge	--	1
""	on her lecherous ex-boss and an annoying telemarketer in the Florida Keys.		
""			
5	WILD FIRE, by Nelson DeMille. (Warner, $26.99.) Detective John Corey and his	2	2
""	wife, an F.B.I. agent, help to foil a nuclear plot against the United States.		
""			
6	BORN IN DEATH, by J. D. Robb. (Putnam, $24.95.) Lt. Eve Dallas investigates the	3	2
""	disappearance of a pregnant woman; by Nora Roberts, writing pseudonymously.		
""			
7	LISEY'S STORY, by Stephen King. (Scribner, $28.) A widow's journey through	5	4
""	grief after the death of her husband, a famous novelist with terrible memories.		
""			
8	SANTA CRUISE, by Mary Higgins Clark and Carol Higgins Clark. (Scribner, $22.)	--	1
""	Passengers on a Christmas cruise for charity, including an amateur sleuth,		
""	manage to foil two escaping felons.		
""			
9	THE COLLECTORS, by David Baldacci. (Warner, $26.99.) The members of the	6	5
""	Camel Club reunite to solve a murder at the Library of Congress.		
""			
10	FIRST IMPRESSIONS, by Nora Roberts. (Silhouette, $17.95.) Seeking peace, a	11	4
""	wealthy businessman retreats to a small town, but his lovely and charitable		
""	neighbor won't stay away; reprint of a 1984 novel.		
""			
11	H.R.H., by Danielle Steel. (Delacorte, $27.) An American-educated European	7	3
""	princess faces unexpected challenges when she works at an African Red Cross		
""	camp.		
""			
12	THE RISING TIDE, by Jeff Shaara. (Ballantine, $27.95.) The first volume of a	8	2
""	projected trilogy of novels about World War II focuses on campaigns in North		
""	Africa and Sicily.		
""			
13	ACT OF TREASON, by Vince Flynn. (Atria, $25.95.) The C.I.A. operative Mitch	10	6
""	Rapp makes surprising discoveries when he investigates an attack on a		
""	Democratic presidential candidate's motorcade.		
""			
14	THIRTEEN MOONS, by Charles Frazier. (Random House, $26.95.) A man raised	12	7
""	in the North Carolina wilderness travels America in defense of his adopted Indian		
""	people and broods over an elusive woman.		
This	December 3, 2006	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	THE AUDACITY OF HOPE, by Barack Obama. (Crown, $25.) The Illinois junior	1	5
""	senator proposes that Americans move beyond their political divisions.		
""			
2	THE INNOCENT MAN, by John Grisham. (Doubleday, $28.95.) Grisham's first	2	6
""	nonfiction book concerns a man sentenced to death for a crime he did not commit.		
""			
3	"CULTURE WARRIOR, by Bill O'Reilly. (Broadway, $26.) The host of ""The O'Reilly"	3	8
""	"Factor"" describes a culture war between traditionalists and secular-progressives."		
""			
4	THE GOD DELUSION, by Richard Dawkins. Houghton Mifflin, $27.) An Oxford	7	9
""	scientist asserts that belief in God is irrational and that religion has done great		
""	harm in the world.		
""			
5	MARLEY & ME, by John Grogan. (Morrow, $21.95.) A newspaper columnist and	4	57
""	his wife learn some life lessons from their neurotic dog.		
""			
6	I FEEL BAD ABOUT MY NECK, by Nora Ephron. (Knopf, $19.95.) A witty look at	6	16
""	"aging from a novelist and screenwriter (""When Harry Met Sally"")."		
""			
7	"STATE OF DENIAL, by Bob Woodward. (Simon & Schuster, $30.) The third ""Bush"	5	8
""	"at War"" volume by the longtime Washington Post reporter and editor describes a"		
""	dysfunctional administration's inept conduct of the invasion and occupation of Iraq.		
""			
8	THE MR. AND MRS. HAPPY HANDBOOK, by Steve Doocy. (Morrow, $23.95.)	9	5
""	Humorous observations on marriage and family life.		
""			
9	THUNDERSTRUCK, by Erik Larson. (Crown, $25.95.) Intertwined stories of early-	8	4
""	20th-century murder and scientific intrigue intersect in a sea chase on the North		
""	"Atlantic; from the author of ""The Devil in the White City."""		
""			
10	I LIKE YOU, by Amy Sedaris. (Warner, $27.99.) The actress's wacky approach to	15	5
""	entertaining.		
""			
11	PALESTINE PEACE NOT APARTHEID, by Jimmy Carter. (Simon & Schuster,	--	1
""	$27.) The former president calls for revitalizing the peace process.		
""			
12	THE WORLD IS FLAT, by Thomas L. Friedman. (Farrar, Straus & Giroux, $27.50;	12	85
""	updated and expanded edition, $30.) A columnist for The Times analyzes 21st-		
""	century economics and foreign policy.		
""			
13	A HAND TO GUIDE ME, by Denzel Washington with Daniel Paisner. (Meredith,	10	3
""	$24.95.) Seventy-four stories by celebrities and leaders about people who inspired		
""	them, introduced by the Academy Award winning actor.		
""			
14	THE LIFE AND TIMES OF THE THUNDERBOLT KID, by Bill Bryson. (Broadway,	11	5
""	"$25.) A memoir of growing up in mid-America at midcentury by the author of ""A"		
""	"Short History of Nearly Everything."""		
