This	April 28, 2002	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE NANNY DIARIES, by Emma McLaughlin and Nicola Kraus. (St. Martin's,	3	6
""	$24.95.) A satirical look at rich and powerful New Yorkers through the eyes of an		
""	Upper East Side nanny.		
""			
2	EVERYTHING'S EVENTUAL, by Stephen King. (Scribner, $28.) A collection of 14	2	4
""	"""dark tales"" about the strange and the supernatural."		
""			
3	THREE FATES, by Nora Roberts. (Putnam, $25.95.) The great-great-	1	2
""	grandchildren of a petty thief who survived the sinking of the Lusitania are		
""	determined to recover a small, priceless statue he took from the ship.		
""			
4	2ND CHANCE, by James Patterson with Andrew Gross. (Little, Brown, $26.95.)	5	6
""	The members of the Women's Murder Club -- a detective, a medical examiner, a		
""	prosecutor and a reporter -- search for a killer.		
""			
5	THE SUMMONS, by John Grisham. (Doubleday, $27.95.) A law professor who	4	10
""	has been called home to Mississippi by his father, a dying judge, discovers more		
""	than $3 million in cash in the old man's study.		
""			
6	SEA GLASS, by Anita Shreve. (Little, Brown, $25.95.) In Depression-era New	--	1
""	England, a newly married couple move into a dilapidated house on the beach.		
""			
7	ATONEMENT, by Ian McEwan. (Nan A. Talese/ Doubleday, $26.) A chronicle of	7	5
""	the disintegration of an English family's idyllic life.		
""			
8	BODY OF LIES, by Iris Johansen. (Bantam, $24.95.) A United States senator	6	3
""	summons the forensic sculptor Eve Duncan to Baton Rouge, La., for the purpose		
""	of identifying the remains of a murder victim.		
""			
9	HOPE THROUGH HEARTSONGS, written and illustrated by Mattie J. T.	13	3
""	Stepanek. (VSP Books/Hyperion, $14.95.) A book of poems by an 11-year-old		
""	boy.		
""			
10	THE GOLDEN ONE, by Elizabeth Peters. (Morrow, $25.95.) In 1917, the	8	2
""	archaeologist Amelia Peabody investigates a murder at an ancient Egyptian burial		
""	site.		
""			
11	WIDOW'S WALK, by Robert B. Parker. (Putnam, $24.95.) The lawyer for a sexy	11	4
""	young woman whose much older millionaire husband has been shot to death hires		
""	the Boston private eye Spenser to investigate.		
""			
12	MIDNIGHT RUNNER, by Jack Higgins. (Putnam, $25.95.) A member of a half-	9	2
""	Arab, half-British family that tried unsuccessfully to assassinate the president of		
""	the United States swears vengeance on her enemies.		
""			
13	THE STONE MONKEY, by Jeffery Deaver. (Simon & Schuster, $25.) A	12	5
""	quadriplegic forensics genius tries to capture a notorious smuggler of human		
This	April 28, 2002	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	LUCKY MAN, by Michael J. Fox. (Hyperion, $22.95.) A memoir by the film and	1	2
""	television actor, who was told a decade ago that he had Parkinson's disease.		
""			
2	A MIND AT A TIME, by Mel Levine. (Simon & Schuster, $26.) A professor of	2	3
""	pediatrics examines the learning patterns of children and the various ways in		
""	which parents and other adults can help them succeed.		
""			
3	KNIGHT: My Story, by Bob Knight with Bob Hammel. (Thomas Dunne/St. Martin's,	3	3
""	$25.95.) The autobiography of the man who was the basketball coach at Indiana		
""	University for decades and is now at Texas Tech.		
""			
4	STUPID WHITE MEN, by Michael Moore. (ReganBooks/ HarperCollins, $24.95.)	4	8
""	"The man behind ""Roger & Me"" takes aim at Republicans and Democrats,"		
""	"corporate America and our ""nation of idiots."""		
""			
5	A SONG FLUNG UP TO HEAVEN, by Maya Angelou. (Random House, $23.95.)	8	2
""	"The sixth and final volume in an autobiographical series that began with ""I Know"		
""	"Why the Caged Bird Sings."""		
""			
6	REPORT FROM GROUND ZERO, by Dennis Smith. (Viking, $24.95.) The author	5	4
""	"of ""Report From Engine Co. 82"" provides accounts of the attack on the World"		
""	Trade Center and the rescue efforts that followed.		
""			
7	"BLINDED BY THE RIGHT, by David Brock. (Crown, $25.95.) The author of ""The"	6	5
""	"Real Anita Hill"" and ""The Seduction of Hillary Rodham"" recounts his break with the"		
""	conservative movement.		
""			
8	STILL WOMAN ENOUGH, by Loretta Lynn with Patsi Bale Cox. (Hyperion,	10	2
""	$24.95.) The country singer tells the story of her rise to stardom.		
""			
9	DRIVER #8, by Dale Earnhardt Jr. with Jade Gurss. (Warner, $23.95.) The race	11	12
""	car driver's account of his rookie year on the Nascar circuit.		
""			
10	BIAS, by Bernard Goldberg. (Regnery, $27.95.) A television journalist who worked	7	19
""	"at CBS for many years reports on ""how the media distort the news."""		
""			
11	JOHN ADAMS, by David McCullough. (Simon & Schuster, $35.) A biography of	--	45
""	the country's first vice president and second president.		
""			
12	MARTHA INC., by Christopher M. Byron. (Wiley, $27.95.) A financial writer traces	--	1
""	Martha Stewart's life story and surveys her extraordinary success in the business		
""	world.		
""			
13	SMALL WONDER, by Barbara Kingsolver. (Harper- Collins, $23.95.) A collection	--	1
""	of essays by the novelist, poet and short-story writer.		
""			
14	WHAT WENT WRONG? by Bernard Lewis. (Oxford University, $23.) A scholar of	12	14
