This	January 15, 2012	Last	Week
Week	Fiction	Week	On Li
""			
1	77 SHADOW STREET, by Dean Koontz. (Bantam, $28.) A 19th-century tycoon’s	--	1
""	mansion has been turned into luxury apartments, but it remains in the grip of evil forces.		
""			
2	11/22/63, by Stephen King. (Scribner, $35.) An English teacher travels back to 1958 by	1	8
""	way of a time portal in a Maine diner. His assignment is to stop Lee Harvey Oswald.		
""			
3	DEATH COMES TO PEMBERLEY, by P. D. James. (Knopf, $25.95.) Elizabeth Bennet	5	4
""	"and her husband, Darcy, of ""Pride and Prejudice,"" marry, must deal with a murder."		
""			
4	LOCKED ON, by Tom Clancy with Mark Greaney. (Putnam, $28.95.) Jack Ryan Jr.	4	3
""	must stop an emerging threat from a Pakistani general.		
""			
5	KILL ALEX CROSS, by James Patterson. (Little, Brown, $28.99.) Alex Cross	3	7
""	investigates when the president’s children are kidnapped, but the F.BI. and C.I.A. stand		
""	in his way.		
""			
6	THE LITIGATORS, by John Grisham. (Doubleday, $28.95.) Partners in a small law firm	2	10
""	take on a big case.		
""			
7	THE BEST OF ME, by Nicholas Sparks. (Grand Central, $25.99.) Twenty-five years	6	12
""	after their high school romance ended, a man and woman return to their North Carolina		
""	town.		
""			
8	RED MIST, by Patricia Cornwell. (Putnam, $27.95.) The chief medical examiner Kay	7	4
""	Scarpetta investigates a string of killings linked to the murder of her former deputy.		
""			
9	THE GIRL WHO KICKED THE HORNET’S NEST, by Stieg Larsson. (Knopf, $27.95.)	10	72
""	The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.		
""			
10	EXPLOSIVE EIGHTEEN, by Janet Evanovich. (Bantam, $28.) After a disastrous	8	6
""	vacation in Hawaii, Stephanie Plum becomes the target of an international killer.		
""			
11	DOWN THE DARKEST ROAD, by Tami Hoag. (Dutton, $26.95.) The residents of a	--	1
""	California town in the mid-’80s continue to grapple with a killer; the third book in a		
""	series.		
""			
12	THE DROP, by Michael Connelly. (Little, Brown, $27.99.) Harry Bosch of the L.A.P.D.	11	5
""	uncovers both the operations of a sadistic killer and a political conspiracy.		
""			
13	MICRO, by Michael Crichton and Richard Preston. (Harper/HarperCollins, $28.99.)	13	6
""	Graduate students miniaturized by an evil entrepreneur do battle in the Hawaiian rain		
""	forest.		
""			
14	COVERT WARRIORS, by W. E. B. Griffin and William E. Butterworth IV. (Putnam,	--	1
""	$27.95.) Charley Castillo and his men investigate when the Russians and Chinese		
""	become involved in a Caribbean nation.		
This	January 15, 2012	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	STEVE JOBS, by Walter Isaacson. (Simon & Schuster, $35.) A biography of the	1	10
""	recently deceased entrepreneur.		
""			
2	KILLING LINCOLN, by Bill O'Reilly and Martin Dugard. (Holt, $28.) The heart-	2	14
""	stopping events surrounding the assassination of Abraham Lincoln.		
""			
3	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner's	3	59
""	story of survival as a prisoner of the Japanese in World War II.		
""			
4	THINKING, FAST AND SLOW, by Daniel Kahneman. (Farrar, Straus & Giroux,	7	10
""	$30.) The winner of the Nobel in economic science discusses how we make		
""	choices in business and personal life and when we can and cannot trust our		
""	intuitions.		
""			
5	THROUGH MY EYES, by Tim Tebow with Nathan Whitaker. (HarperCollins,	4	17
""	$26.99.) The Broncos quarterback chronicles his personal and professional		
""	course.		
""			
6	CATHERINE THE GREAT, by Robert K. Massie. (Random House, $35.) The life	8	7
""	of the minor 18th-century German princess who became Empress of All the		
""	Russias.		
""			
7	HEAVEN IS FOR REAL, by Todd Burpo with Lynn Vincent. (Thomas Nelson,	9	5
""	$21.99.) A boy’s encounter with Jesus and the angels during an emergency		
""	appendectomy.		
""			
8	BEING GEORGE WASHINGTON, by Glenn Beck and Kevin Balfe. (Threshold	6	6
""	Editions/Mercury Radio Arts, $26.) How Washington turned himself into the		
""	indispensable (if imperfect) man.		
""			
9	JACK KENNEDY, by Chris Matthews. (Simon & Schuster, $27.5.) An admiring	5	9
""	portrait.		
""			
10	IN THE GARDEN OF BEASTS, by Erik Larson. (Crown, $26.) William E. Dodd,	12	30
""	the U.S. ambassador to Germany, and his daughter, Martha, in 1930s Berlin.		
""			
11	SERIOUSLY ... I'M KIDDING, by Ellen DeGeneres. (Grand Central, $26.99.) A	13	8
""	collection of humor pieces from the stand-up comedian and talk-show host.		
""			
12	IMPERFECT JUSTICE, by Jeff Ashton with Lisa Pulitzer. (Morrow/HarperCollins,	--	4
""	$26.99.) A prosecutor’s account of the Casey Anthony trial.		
""			
13	BOOMERANG, by Michael Lewis. (Norton, $25.95.) A look at some of the places	11	13
""	— Greece, Ireland, Iceland — hardest hit by the recent financial collapse of 2008.		
""			
14	IS EVERYONE HANGING OUT WITHOUT ME?, by Mindy Kaling. (Crown	--	4
""	Archetype, $25.) Observations from the comedy writer and actress.		
