This	June 9, 2002	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE SHELTERS OF STONE, by Jean M. Auel. (Crown, $28.95.) Love and danger	1	4
""	"in a prehistoric society; the latest volume in a series that began with ""The Clan of"		
""	"the Cave Bear."""		
""			
2	MORTAL PREY, by John Sandford. (Putnam, $26.95.) Lucas Davenport searches	2	2
""	for a hit woman from his past who herself has become the target of a killer.		
""			
3	THE NANNY DIARIES, by Emma McLaughlin and Nicola Kraus. (St. Martin's,	5	12
""	$24.95.) A satirical look at rich and powerful New Yorkers through the eyes of an		
""	Upper East Side nanny.		
""			
4	STAR WARS: EPISODE 2 -- ATTACK OF THE CLONES, by R. A. Salvatore.	4	5
""	(Lucas/Del Rey/Ballantine, $26.) As the Republic edges toward disaster, Anakin		
""	Skywalker falls for Senator Padmé Amidala.		
""			
5	THE WAILING WIND, by Tony Hillerman. (HarperCollins, $25.95.) Sgt. Jim Chee	6	3
""	and Joe Leaphorn, the retired Navajo tribal policeman, try to solve a homicide		
""	case involving a lost gold mine.		
""			
6	DADDY'S LITTLE GIRL, by Mary Higgins Clark. (Simon & Schuster, $26.) An	3	6
""	investigative reporter discovers new information about her sister's murder.		
""			
7	THE SUMMONS, by John Grisham. (Doubleday, $27.95.) A law professor who	8	16
""	has been called home to Mississippi by his father, a dying judge, discovers more		
""	than $3 million in cash in the old man's study.		
""			
8	COURTING TROUBLE, by Lisa Scottoline. (HarperCollins, $25.95.) While	--	1
""	preparing for a high-profile trial, a young Philadelphia lawyer is confronted by a		
""	newspaper article that claims she was murdered.		
""			
9	A THOUSAND COUNTRY ROADS, by Robert James Waller. (John M. Hardy,	7	5
""	"$19.95.) A sequel to ""The Bridges of Madison County."""		
""			
10	IF LOOKS COULD KILL, by Kate White. (Warner, $22.95.) A true-crime writer for	10	4
""	Gloss magazine looks for a murderer in the media world of New York City.		
""			
11	CITY OF BONES, by Michael Connelly. (Little, Brown, $25.95.) The Los Angeles	12	6
""	homicide detective Harry Bosch hunts for a killer.		
""			
12	SIN KILLER, by Larry McMurtry. (Simon & Schuster, $25.) In 1830, the	--	2
""	Berrybender family leaves England behind and heads for the American frontier.		
""			
13	ATONEMENT, by Ian McEwan. (Nan A. Talese/ Doubleday, $26.) A chronicle of	13	11
""	the disintegration of an English family's idyllic life.		
""			
14	EVERYTHING'S EVENTUAL, by Stephen King. (Scribner, $28.) A collection of 14	9	10
""	"""dark tales"" about the strange and the supernatural."		
This	June 9, 2002	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	A MIND AT A TIME, by Mel Levine. (Simon & Schuster, $26.) A professor of	8	9
""	pediatrics examines the learning patterns of children and the various ways in		
""	which parents and other adults can help them succeed.		
""			
2	THE RIGHT WORDS AT THE RIGHT TIME, edited by Marlo Thomas. (Atria, $25.)	7	5
""	More than 100 celebrities describe a turning point in their lives.		
""			
3	STUPID WHITE MEN, by Michael Moore. (ReganBooks/ HarperCollins, $24.95.)	5	14
""	"The man behind ""Roger & Me"" takes aim at Republicans and Democrats,"		
""	"corporate America and our ""nation of idiots."""		
""			
4	ODD GIRL OUT, by Rachel Simmons. (Harcourt, $25.) A study of the secret lives	6	6
""	of girls and the culture of female aggression.		
""			
5	MASTER OF THE SENATE, by Robert A. Caro. (Knopf, $35.) The third book in a	4	5
""	multivolume biography of Lyndon B. Johnson, covering the years 1949 to 1960.		
""			
6	LUCKY MAN, by Michael J. Fox. (Hyperion, $22.95.) A memoir by the film and	3	8
""	television actor, who was told a decade ago that he had Parkinson's disease.		
""			
7	AMERICAN SON, by Richard Blow. (Holt, $25.) The last years of John F. Kennedy	1	4
""	Jr., as seen by a former editor at George magazine.		
""			
8	FIND ME, by Rosie O'Donnell. (Warner, $23.95.) The actress and talk show host	2	6
""	discusses her childhood, her motherhood and, especially, her long-distance		
""	friendship with an unwed teenage mother-to-be.		
""			
9	MEDAL OF HONOR, by Allen Mikaelian. (Hyperion, $25.95.) Profiles of American	11	2
""	military heroes who served in the Civil War, World War I, World War II, Korea and		
""	Vietnam.		
""			
10	PROFILES IN COURAGE FOR OUR TIME, edited by Caroline Kennedy.	14	3
""	(Hyperion, $23.95.) Essays by noted writers about modern elected officials who		
""	have performed acts of political courage.		
""			
11	"OH, THE THINGS I KNOW! by Al Franken. (Dutton, $19.95.) The author of ""Rush"	13	4
""	"Limbaugh Is a Big Fat Idiot"" offers a cradle-to-grave manual for living."		
""			
12	LAST MAN DOWN, by Richard Picciotto with Daniel Paisner. (Berkley, $24.95.)	9	4
""	The highest-ranking firefighter to survive the attack on the World Trade Center		
""	describes the ordeal of Sept. 11.		
""			
13	SMALL WONDER, by Barbara Kingsolver. (Harper- Collins, $23.95.) A collection	12	7
""	of essays by the novelist, poet and short-story writer.		
""			
14	WEALTH AND DEMOCRACY, by Kevin Phillips. (Broadway, $29.95.) From the	--	1
""	Revolutionary War to the turn of the 21st century: a political history of the		
