This	December 4, 2011	Last	Week
Week	Fiction	Week	On Li
""			
1	KILL ALEX CROSS, by James Patterson. (Little, Brown, $28.99.) Alex Cross	--	1
""	investigates when the president’s children are kidnapped, but the F.BI. and C.I.A.		
""	stand in his way.		
""			
2	11/22/63, by Stephen King. (Scribner, $35.) An English teacher travels back to 1958 by	1	2
""	way of a time portal in a Maine diner. His assignment is to stop Lee Harvey Oswald.		
""			
3	V IS FOR VENGEANCE, by Sue Grafton. (Marian Wood/Putnam, $27.95.) Pursuing a	--	1
""	shoplifter, Kinsey Millhone discovers that retail crime is run by organized gangs.		
""			
4	THE LITIGATORS, by John Grisham. (Doubleday, $28.95.) Partners in a small law firm	2	4
""	take on a big case after a fast-track burnout joins them.		
""			
5	DEVIL'S GATE, by Clive Cussler and Graham Brown. (Putnam, $27.95.) In the ninth	--	1
""	NUMA Files novel, Kurt Austin and his crew uncover a plan to blackmail major nations.		
""			
6	THE BEST OF ME, by Nicholas Sparks. (Grand Central, $25.99.) Twenty-five years	4	6
""	after their high school romance ended, a man and woman who have gone their		
""	separate ways return to their North Carolina town for the funeral of a friend.		
""			
7	ZERO DAY, by David Baldacci. (Grand Central, $27.99.) A military investigator	3	3
""	uncovers a conspiracy.		
""			
8	STAR WARS: THE OLD REPUBLIC : REVAN, by Drew Karpyshyn. (LucasBooks,	--	1
""	$27.) A Jedi stumbles upon a terrible secret that threatens the Republic; a “Star Wars”		
""	novel.		
""			
9	THE CHRISTMAS WEDDING, by James Patterson and Richard DiLallo. (Little, Brown,	5	5
""	$25.99.) A widow keeps the identity of the new man she is about to marry a secret.		
""			
10	1Q84, by Haruki Murakami. (Knopf, $30.5.) In 1980s Tokyo, a woman who punishes	6	4
""	perpetrators of domestic violence has ties to an aspiring novelist with an unusual		
""	project.		
""			
11	THE SNOW ANGEL, by Glenn Beck. (Threshold Editions/Mercury Radio Arts, $21.) A	9	4
""	woman re-evaluates her life.		
""			
12	OUT OF OZ, by Gregory Maguire. (Morrow/HarperCollins, $26.99.) Elphaba’s	13	3
""	granddaughter Rain takes up her legacy; Book 4 (the final volume) of the Wicked		
""	Years.		
""			
13	THE MARRIAGE PLOT, by Jeffrey Eugenides. (Farrar, Straus & Giroux, $28.) Three	12	6
""	Brown graduates in the early 1980s wrestle with love, religion and coming of age.		
""			
14	LOST DECEMBER, by Richard Paul Evans. (Simon & Schuster, $19.99.) A prodigal	11	3
""	son turns his life around during the holiday season.		
This	December 4, 2011	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	STEVE JOBS, by Walter Isaacson. (Simon & Schuster, $35.) A biography of the	1	4
""	recently deceased entrepreneur, based on 40 interviews with Jobs conducted over		
""	two years.		
""			
2	KILLING LINCOLN, by Bill O'Reilly and Martin Dugard. (Holt, $28.) The	2	8
""	commentator looks at the heart-stopping events surrounding the assassination of		
""	Abraham Lincoln.		
""			
3	IMPERFECT JUSTICE, by Jeff Ashton with Lisa Pulitzer. (Morrow/HarperCollins,	--	1
""	$26.99.) A prosecutor’s account of the Casey Anthony trial.		
""			
4	JACK KENNEDY, by Chris Matthews. (Simon & Schuster, $27.5.) An admiring	4	3
""	portrait.		
""			
5	HOW I GOT THIS WAY, by Regis Philbin. (It Books/HarperCollins, $25.99.) The	--	1
""	recently retired co-host of “Live! With Regis and Kelly’’ looks back on his years in		
""	show business.		
""			
6	GABBY, by Gabrielle Giffords and Mark Kelly with Jeffrey Zaslow. (Scribner,	--	1
""	$26.99.) The Arizona representative and her astronaut husband describe their lives		
""	in the aftermath of the assassination attempt against her in January 2011.		
""			
7	UNBROKEN, by Laura Hillenbrand. (Random House, $27.) An Olympic runner's	6	53
""	story of survival as a prisoner of the Japanese in World War II.		
""			
8	BACK TO WORK, by Bill Clinton. (Knopf, $23.95.) The former president argues that	3	2
""	cooperation between the private sector and government is necessary to restore		
""	prosperity.		
""			
9	THEN AGAIN, by Diane Keaton. (Random House, $26.) The actress uses her	--	1
""	mother’s diaries as a springboard for the examination of her own life.		
""			
10	NO HIGHER HONOR, by Condoleezza Rice. (Crown, $35.) A memoir of service	5	3
""	during the Bush administration.		
""			
11	THE NEW NEW RULES, by Bill Maher. (Blue Rider, $26.95.) Humorous	--	1
""	observations on politics and life.		
""			
12	BOOMERANG, by Michael Lewis. (Norton, $25.95.) A look at some of the places —	10	7
""	Greece, Ireland, Iceland — hardest hit by the financial collapse of 2008, and at how		
""	it happened.		
""			
13	THROW THEM ALL OUT, by Peter Schweizer. (Houghton Mifflin Harcourt, $26.)	--	1
""	Insider trading in Congress and how it enriches the permanent political class.		
""			
14	THINKING, FAST AND SLOW, by Daniel Kahneman. (Farrar, Straus & Giroux, $30.)	13	4
""	The winner of the Nobel in economic science discusses how we make choices in		
