This	August 23, 2009	Last	Weeks
Week	Fiction	Week	On List
""			
1	BAD MOON RISING, by Sherrilyn Kenyon. (St. Martin’s, $24.99.) Book 18 of the	--	1
""	Dark-Hunter paranormal series.		
""			
2	THAT OLD CAPE MAGIC, by Richard Russo. (Knopf, $25.95.) A long-married	--	1
""	couple wrestle with their dissatisfactions during a Cape Cod weekend; by the		
""	author of “Empire Falls.”		
""			
3	THE HELP, by Kathryn Stockett. (Amy Einhorn/Putnam, $24.95.) A young white	4	19
""	woman and two black maids in 1960s Mississippi.		
""			
4	THE GIRL WHO PLAYED WITH FIRE, by Stieg Larsson. (Knopf, $25.95.) A	1	2
""	Swedish hacker becomes a murder suspect.		
""			
5	INHERENT VICE, by Thomas Pynchon. (Penguin Press, $27.95.) A pothead	--	1
""	private eye in Los Angeles, circa 1970.		
""			
6	BEST FRIENDS FOREVER, by Jennifer Weiner. (Atria, $26.99.) Childhood	3	4
""	friends, estranged in high school, reunite years later when the popular one needs		
""	the mousy one’s help.		
""			
7	THE TRAFFICKERS, by W.E.B. Griffin and William E. Butterworth IV. (Putnam,	--	1
""	$26.95.) A Philadelphia cop joins forces with a Texas Ranger to track a gang		
""	connected to the Mexican drug cartel; part of the Badge of Honor series.		
""			
8	THE DEFECTOR, by Daniel Silva. (Putnam, $26.95.) When a Russian defector	2	3
""	who once saved his life disappears, Gabriel Allon, an art restorer and occasional		
""	spy for the Israeli secret service, attempts to rescue him.		
""			
9	SWIMSUIT, by James Patterson and Maxine Paetro. (Little, Brown, $27.99.) A	5	6
""	former cop, now a reporter for The Los Angeles Times, investigates the		
""	disappearance of a supermodel.		
""			
10	DEAD AND GONE, by Charlaine Harris. (Ace, $25.95.) Sookie Stackhouse	11	14
""	searches for the killer of a werepanther.		
""			
11	RULES OF VENGEANCE, by Christopher Reich. (Doubleday, $25.95.) A doctor is	--	1
""	drawn into a world of international espionage; a sequel to “Rules of Deception.”		
""			
12	TWENTIES GIRL, by Sophie Kinsella. (Dial, $26.) A young woman is haunted by	6	3
""	the spirit of her great-aunt, who wants her to find a missing necklace.		
""			
13	BLACK HILLS, by Nora Roberts. (Putnam, $26.95.) A South Dakota wildlife	8	5
""	biologist and an ex-cop, childhood sweethearts, reunite to pursue a serial killer.		
""			
14	FINGER LICKIN’ FIFTEEN, by Janet Evanovich. (St. Martin’s, $27.95.) The	9	7
""	bounty hunter Stephanie Plum tracks a celebrity chef’s killer.		
This	August 23, 2009	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	CULTURE OF CORRUPTION, by Michelle Malkin. (Regnery, $27.95.) President	1	2
""	Obama and his team of tax cheats, petty crooks, influence peddlers and Wall		
""	Street cronies.		
""			
2	OUTLIERS, by Malcolm Gladwell. (Little, Brown, $27.99.) Why some people	3	38
""	succeed — it has to do with luck and opportunity as well as talent — from the		
""	author of “Blink.”		
""			
3	IN THE PRESIDENT’S SECRET SERVICE, by Ronald Kessler. (Crown, $26.)	--	1
""	Agents and the presidents they protect.		
""			
4	CATASTROPHE, by Dick Morris and Eileen McGann. (Harper/HarperCollins,	4	7
""	$26.99.) Stopping President Obama before he transforms America into a socialist		
""	state and destroys the health care system.		
""			
5	LIBERTY AND TYRANNY, by Mark R. Levin. (Threshold Editions, $25.) A	2	20
""	conservative manifesto from a talk-show host and president of Landmark Legal		
""	Foundation.		
""			
6	OUR LADY OF GUADALUPE, by Carl A. Anderson and Eduardo Chávez.	--	1
""	(Doubleday, $22.99.) The history and message of Our Lady of Guadalupe.		
""			
7	A BOLD FRESH PIECE OF HUMANITY, by Bill O’Reilly. (Broadway, $26.) The	10	41
""	Fox News commentator on his upbringing and career.		
""			
8	THE END OF OVEREATING, by David A. Kessler. (Rodale, $25.95.) How eating	6	14
""	sugar, fat and salt affects our minds and bodies and encourages overindulgence.		
""			
9	THE WILDERNESS WARRIOR, by Douglas Brinkley. (Harper/HarperCollins,	7	2
""	$34.99.) Theodore Roosevelt’s crusade for conservation.		
""			
10	MICHAEL JACKSON, by J. Randy Taraborrelli. (Grand Central, $18.99.) An	11	2
""	updated version of a 1991 biography now covers Jackson’s last years and his		
""	death.		
""			
11	IN FED WE TRUST, by David Wessel. (Crown Business, $26.99.) How Ben	--	1
""	Bernanke and his Federal Reserve colleagues worked to prevent another Great		
""	Depression.		
""			
12	UNMASKED, by Ian Halperin. (Simon Spotlight Entertainment, $25.) Michael	5	4
""	Jackson’s final years.		
""			
13	BOBBY AND JACKIE, by C. David Heymann. (Atria, $26.) The connection	12	4
""	between Bobby and Jackie Kennedy.		
""			
14	THE ACCIDENTAL BILLIONAIRES, by Ben Mezrich. ( Doubleday, $25.) How two	8	4
""	"Harvard undergraduates created Facebook from the author of ""Bringing Down the"		
