This	March 22, 2015	Last	Weeks
Week	Fiction	Week	On List
""			
1	THE GIRL ON THE TRAIN, by Paula Hawkins. (Riverhead.) A psychological	1	8
""	thriller set in London.		
""			
2	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	2	44
""	blind French girl and a gadget-obsessed German boy before and during World		
""	War II.		
""			
3	THE BURIED GIANT, by Kazuo Ishiguro. (Knopf.) In a semi-historical ancient	--	1
""	Britain, an elderly couple set out in search of their son.		
""			
4	A SPOOL OF BLUE THREAD, by Anne Tyler. (Knopf.) Four generations of a	5	4
""	family are drawn to a house in the Baltimore suburbs.		
""			
5	THE ASSASSIN, by Clive Cussler and Justin Scott. (Putnam.) The detective Isaac	--	1
""	Bell investigates the murders of opponents of the Standard Oil trust in 1905.		
""			
6	THE NIGHTINGALE, by Kristin Hannah. (St. Martin's.) Two sisters in World War II	6	5
""	France: one struggling to survive in the countryside, the other joining the		
""	Resistance in Paris.		
""			
7	PRODIGAL SON, by Danielle Steel. (Delacorte.) Twins, one good and one bad,	4	2
""	reunite after 20 years when one of them returns to their hometown.		
""			
8	DEAD HEAT, by Patricia Briggs. (Ace.) Charles and Anna, married werewolves,	--	1
""	must stop a dangerous Fae whom they encounter during what begins as a		
""	pleasure trip; Book 4 of the Alpha and Omega series.		
""			
9	THE WHITES, by Richard Price writing as Harry Brandt. (Holt.) A slashing in Penn	7	3
""	Station draws a Manhattan detective back into a case from the past that haunts		
""	him.		
""			
10	MIGHTIER THAN THE SWORD, by Jeffrey Archer. (St. Martin's.) In the fifth	3	2
""	volume of the Clifton Chronicles, Harry Clifton becomes president of English PEN		
""	and works to free a Soviet writer.		
""			
11	LEAVING BERLIN, by Joseph Kanon. (Atria.) In the late 1940s, a young Jewish	--	1
""	writer who took refuge from the Nazis in the United States reluctantly agrees to		
""	spy for the C.I.A. in Berlin, but things go terribly wrong.		
""			
12	GRAY MOUNTAIN, by John Grisham. (Doubleday.) In a small Virginia town, a	8	20
""	downsized Wall Street lawyer becomes involved in litigation against the mining		
""	industry.		
""			
13	TRIGGER WARNING, by Neil Gaiman. (Morrow/HarperCollins.) Stories and	9	5
""	poems about the power of imagination.		
""			
14	THE FIFTH GOSPEL, by Ian Caldwell. (Simon & Schuster.) Two brothers, a	--	1
This	March 22, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	BEING MORTAL, by Atul Gawande. (Metropolitan/Holt.) The surgeon and New	1	22
""	Yorker writer considers how doctors fail patients at the end of life, and offers		
""	suggestions for how they can do better; the subject of a PBS documentary.		
""			
2	GIRL IN A BAND, by Kim Gordon. (Dey Street/Morrow.) A memoir by a founding	2	2
""	member of Sonic Youth.		
""			
3	KILLING PATTON, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	4	24
""	O’Reilly Factor” recounts the death of Gen. George S. Patton in December 1945.		
""			
4	YES PLEASE, by Amy Poehler. (Dey Street/Morrow.) A humorous miscellany from	6	19
""	the comedian and actress.		
""			
5	H IS FOR HAWK, by Helen Macdonald. (Grove.) Overwhelmed by her father’s	5	3
""	death, a British woman decides to raise a goshawk, a bird that is fierce and		
""	notoriously difficult to tame.		
""			
6	DATA AND GOLIATH, by Bruce Schneier. (Norton.) A security expert offers tips	--	1
""	for protecting your privacy and proposes an alternative to mass surveillance by		
""	government and corporations.		
""			
7	WHAT IF?, by Randall Munroe. (Houghton Mifflin Harcourt.) Scientific (but often	8	27
""	humorous) answers to hypothetical questions, based in part on the author’s		
""	website, xkcd.com.		
""			
8	SPRING CHICKEN, by Bill Gifford. (Grand Central.) A review of the science of —	9	2
""	and myths about — aging, and advice on how to live longer.		
""			
9	FUTURE CRIMES, by Marc Goodman. (Doubleday.) The world of cybercrime and	3	2
""	corporate spying, and advice on protecting yourself.		
""			
10	BELIEVER, by David Axelrod. (Penguin Press.) A memoir by the political	7	4
""	consultant who became Barack Obama’s campaign strategist and White House		
""	adviser.		
""			
11	NOT THAT KIND OF GIRL, by Lena Dunham. (Random House.) Essays, mostly	15	23
""	humorous, from the creator and star of “Girls.”		
""			
12	LIVE RIGHT AND FIND HAPPINESS (ALTHOUGH BEER IS MUCH FASTER), by	--	1
""	Dave Barry. (Putnam.) Humorous essays on topics ranging from the World Cup in		
""	Brazil to home improvement and including Barry’s letters to his teenage daughter		
""	and his newborn grandson.		
""			
13	RED NOTICE, by Bill Browder. (Simon & Schuster.) A successful American hedge	10	5
""	fund manager in Russia was expelled by kleptocrats who then seized his property.		
""			
14	I AM MALALA, by Malala Yousafzai with Christina Lamb. (Little, Brown.) The	11	49
