This	January 11, 2015	Last	Weeks
Week	Fiction	Week	On List
""			
1	GRAY MOUNTAIN, by John Grisham. (Doubleday.) A downsized Wall Street	1	10
""	lawyer joins a legal clinic in a small Virginia town.		
""			
2	ALL THE LIGHT WE CANNOT SEE, by Anthony Doerr. (Scribner.) The lives of a	4	34
""	blind French girl and a gadget-obsessed German boy before and during World		
""	War II.		
""			
3	HOPE TO DIE, by James Patterson. (Little, Brown.) Detective Alex Cross’s family	3	5
""	is kidnapped by a madman who wants to turn Cross into a perfect killer.		
""			
4	REVIVAL, by Stephen King. (Scribner.) The continuing relationship, over five	2	7
""	decades, between a disgraced clergyman and a drug-addicted musician.		
""			
5	THE ESCAPE, by David Baldacci. (Grand Central.) John Puller, a special agent	5	6
""	with the Army, hunts for his brother, who was convicted of treason and has		
""	escaped from prison.		
""			
6	TOM CLANCY: FULL FORCE AND EFFECT, by Mark Greaney. (Putnam.) A	6	4
""	discovery of mineral deposits has changed North Korea’s fortunes and made the		
""	country even more of a threat for President Jack Ryan.		
""			
7	LEAVING TIME, by Jodi Picoult. (Ballantine.) After searching for her mother, who	7	11
""	has disappeared, for more than 10 years, a woman employs a psychic and a		
""	detective.		
""			
8	REDEPLOYMENT, by Phil Klay. (Penguin Press.) Twelve stories by a former	9	3
""	Marine who served in Iraq; winner of the 2014 National Book Award.		
""			
9	THE BURNING ROOM, by Michael Connelly. (Little, Brown.) The Los Angeles	8	8
""	detective Harry Bosch and his new partner investigate two long-unsolved cases.		
""			
10	FLESH AND BLOOD, by Patricia Cornwell. (Morrow/HarperCollins.) Dr. Kay	12	7
""	Scarpetta pursues a sniper who may be a vigilante; the 22nd Scarpetta novel.		
""			
11	PRINCE LESTAT, by Anne Rice. (Knopf.) The Vampire Chronicles continue after	13	9
""	a long hiatus.		
""			
12	THE GOLDFINCH, by Donna Tartt. (Little, Brown.)  A painting becomes a boy’s	11	57
""	prize, guilt and burden.		
""			
13	EDGE OF ETERNITY, by Ken Follett. (Dutton.) Five interrelated families from five	10	15
""	countries grapple with the events of the 1960s through the 1980s; Book 3 of the		
""	Century Trilogy.		
""			
14	STATION ELEVEN, by Emily St. John Mandel. (Knopf.) A traveling theater	14	3
""	company looks for an audience among a global pandemic’s survivors.		
This	January 11, 2015	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	KILLING PATTON, by Bill O'Reilly and Martin Dugard. (Holt.) The host of “The	1	14
""	O’Reilly Factor” recounts the death of Gen. George S. Patton in December 1945.		
""			
2	41, by George W. Bush. (Crown.) The former president’s portrait of his father,	2	7
""	George H. W. Bush.		
""			
3	YES PLEASE, by Amy Poehler. (Dey Street/Morrow.) A humorous miscellany from	4	9
""	the comedian and actress, a “Saturday Night Live” alumna and the star of “Parks		
""	and Recreation.”		
""			
4	WHAT IF?, by Randall Munroe. (Houghton Mifflin Harcourt.) Scientific (but often	3	17
""	humorous) answers to hypothetical questions, based in part on the author’s		
""	website, xkcd.com.		
""			
5	UNBROKEN, by Laura Hillenbrand. (Random House.) An Olympic runner’s story	6	188
""	of survival as a prisoner of the Japanese in World War II; the basis for the movie.		
""			
6	HUMANS OF NEW YORK, by Brandon Stanton. (St. Martin's.) Four hundred color	5	26
""	photos of New Yorkers.		
""			
7	NOT THAT KIND OF GIRL, by Lena Dunham. (Random House.) Essays from the	12	13
""	creator and star of “Girls.”		
""			
8	BEING MORTAL, by Atul Gawande. (Metropolitan/ Holt.) The surgeon and New	9	12
""	Yorker writer considers how doctors fail patients at the end of life, and offers		
""	suggestions for how they can do better.		
""			
9	AS YOU WISH, by Cary Elwes with Joe Layden. (Touchstone/Simon & Schuster.)	7	10
""	The making of the movie “The Princess Bride,” 25 years ago.		
""			
10	THE INNOVATORS, by Walter Isaacson. (Simon & Schuster.) Studies of the	11	11
""	people who created computers and the Internet, beginning in the 1840s.		
""			
11	THE ANDY COHEN DIARIES, by Andy Cohen. (Holt.) One year in the (social) life	8	7
""	of the TV producer and host of “Watch What Happens Live.”		
""			
12	DEEP DOWN DARK, by Héctor Tobar. (Farrar, Straus & Giroux.) An account,	--	2
""	based on interviews, of the experience of the 33 Chilean miners who were trapped		
""	underground for 69 days in 2010 and, incredibly, rescued.		
""			
13	DREAMERS AND DECEIVERS, by Glenn Beck with Kevin Balfe. (Threshold	--	7
""	Editions/Mercury Radio Arts.) More little-known stories from America’s past.		
""			
14	YOU CAN'T MAKE THIS UP, by Al Michaels with L. Jon Wertheim.	10	6
""	(Morrow/HarperCollins.) The veteran sportscaster, the voice of “Sunday Night		
""	Football,” recalls players and games he has observed.		
