This	January 29, 2006	Last	Week
Week	Fiction	Week	On Li
""			
1	THE DA VINCI CODE, by Dan Brown. (Doubleday, $24.95.) A murder at the Louvre	2	147
""	leads to a trail of clues found in the work of Leonardo and to the discovery of a secret		
""	society.		
""			
2	THE HOSTAGE, by W. E. B. Griffin. (Putnam, $26.95.) An Army officer probes the	1	2
""	murder of an American diplomat and the kidnapping of his wife, whose brother is linked		
""	to the Iraq oil-for-food scandal.		
""			
3	THE CAT WHO DROPPED A BOMBSHELL, by Lilian Jackson Braun. (Putnam,	--	1
""	$23.95.) The columnist Jim Qwilleran and his cats investigate the mysterious death of a		
""	wealthy couple.		
""			
4	“S” IS FOR SILENCE, by Sue Grafton. (Marian Wood/Putnam, $26.95.) Kinsey Millhone	3	6
""	searches for a woman who disappeared 34 years ago.		
""			
5	MARY, MARY, by James Patterson. (Little, Brown, $27.95.) The F.B.I. agent Alex Cross	4	9
""	tracks a Hollywood killer who announces the crimes via e-mail.		
""			
6	EVERY BREATH YOU TAKE, by Judith McNaught. (Ballantine, $25.95.) When the	5	3
""	grandson of a Chicago philanthropist disappears, suspicion falls on the wrong man.		
""			
7	"AT FIRST SIGHT, by Nicholas Sparks. (Warner, $24.95.) The young couple from ""True"	7	13
""	"Believer,"" who are now expecting a child, receive a disturbing message."		
""			
8	TURNING ANGEL, by Greg Iles. (Scribner, $25.95.) To defend a friend wrongly	8	3
""	accused of murder, a Mississippi lawyer must investigate the secret lives of local prep		
""	school students.		
""			
9	JUST REWARDS, by Barbara Taylor Bradford. (St. Martin's, $24.95.) Concluding the	9	2
""	story of the Harte family and its financial empire, told through four generations of		
""	women.		
""			
10	ON THE RUN, by Iris Johansen. (Bantam, $26.) A little girl and her mother, a gifted	12	3
""	horse trainer who once worked for the C.I.A., are targeted by a Middle Eastern magnate.		
""			
11	CHRIST THE LORD: OUT OF EGYPT, by Anne Rice. (Knopf, $25.95.) What happened	10	11
""	in Bethlehem; a story narrated by a 7-year-old who discovers that he is the Prince of		
""	Peace.		
""			
12	ALL NIGHT LONG, by Jayne Ann Krentz. (Putnam, $24.95.) A journalist returns to her	6	2
""	Northern California hometown to investigate the death of an old friend and the murder of		
""	her parents years before.		
""			
13	PREDATOR, by Patricia Cornwell. (Putnam, $26.95.) On the trail of a possible serial	11	12
""	killer, Dr. Kay Scarpetta turns to a jailed psychopath for advice.		
""			
14	THE FIVE PEOPLE YOU MEET IN HEAVEN, by Mitch Albom. (Hyperion, $19.95.) An	--	101
This	January 29, 2006	Last	Weeks
Week	Non-Fiction	Week	On List
""			
1	FOR LACI, by Sharon Rocha. (Crown, $25.95.) Laci Peterson's mother recalls her	11	2
""	daughter and describes her killer's trial.		
""			
2	MARLEY & ME, by John Grogan. (Morrow, $21.95.) A newspaper columnist and	4	13
""	his wife learn some life lessons from their neurotic dog.		
""			
3	MY FRIEND LEONARD, by James Frey. (Riverhead, $24.95.) The author of the	1	15
""	"addiction memoir ""A Million Little Pieces"" remembers a helpful mobster friend."		
""			
4	THE WORLD IS FLAT, by Thomas L. Friedman. (Farrar, Straus & Giroux, $27.50.)	3	41
""	A columnist for The New York Times analyzes 21st-century economics and foreign		
""	policy and presents an overview of globalization trends.		
""			
5	THE YEAR OF MAGICAL THINKING, by Joan Didion. (Knopf, $23.95.) The	2	15
""	author's attempts to come to terms with the death of her husband and the grave		
""	illness of their only daughter.		
""			
6	"TEACHER MAN, by Frank McCourt. (Scribner, $26.) The author of ""Angela's"	5	9
""	"Ashes"" remembers his years teaching high school English in New York City."		
""			
7	FREAKONOMICS, by Steven D. Levitt and Stephen J. Dubner. (Morrow, $25.95.)	6	40
""	A maverick scholar applies economic thinking to everything from sumo wrestlers		
""	who cheat to legalized abortion and the falling crime rate.		
""			
8	OUR ENDANGERED VALUES, by Jimmy Carter. (Simon & Schuster, $25.) The	7	11
""	former president warns against blurring politics and fundamentalist religion.		
""			
9	TEAM OF RIVALS, by Doris Kearns Goodwin. (Simon & Schuster, $35.) The	8	12
""	political genius of Abraham Lincoln, revealed in his relationship with his cabinet,		
""	"from the author of ""No Ordinary Time."""		
""			
10	STATE OF WAR, by James Risen. (Free Press, $26.) The secret history of the	9	2
""	C.I.A. and the Bush administration.		
""			
11	1776, by David McCullough. (Simon & Schuster, $32.) An account of America's	10	34
""	founding year by the Pulitzer Prize-winning author, focusing on the inexperienced		
""	George Washington and heroic citizen soldiers.		
""			
12	"BLINK, by Malcolm Gladwell. (Little, Brown, $25.95.) The author of ""The Tipping"	12	50
""	"Point"" explores the importance of hunch and instinct to the workings of the mind."		
""			
13	THE NUMBER, by Lee Eisenberg. (Free Press, $26.) How to think about the	--	1
""	amount of money you need to live the way you want to after you retire.		
""			
14	SEX AND THE SEASONED WOMAN, by Gail Sheehy. (Random House, $25.95.)	--	1
""	"The author of ""Passages"" describes women over 50 who have vital sex lives."		
